parent_name,parent_smiles,child_name,child_smiles,enzymes,origin,source
estradiol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,2-Hydroxyestradiol,C[C@]12CC[C@@H]3c4cc(O)c(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,CYP1A2; CYP3A4; CYP1A1,estradiol,MetXBioDB
estradiol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,4-Hydroxyestradiol ,C[C@]12CC[C@@H]3c4ccc(O)c(O)c4CC[C@H]3[C@@H]1CC[C@@H]2O,CYP1B1 ,estradiol,MetXBioDB
estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,2-OH-estrone,C[C@]12CC[C@@H]3c4cc(O)c(O)cc4CC[C@H]3[C@@H]1CCC2=O,CYP3A4; CYP3A5; CYP3A7; CYP1A2; CYP2B6; CYP2C8; CYP2C9; CYP2C19; CYP2D6,estrone,MetXBioDB
estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,4-OH-estrone,C[C@]12CC[C@@H]3c4ccc(O)c(O)c4CC[C@H]3[C@@H]1CCC2=O,CYP1A1; CYP1A2; CYP2C9; CYP3A4; CYP3A5; CYP3A7,estrone,MetXBioDB
estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,6alpha-OH-estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4[C@@H](O)C[C@H]3[C@@H]1CCC2=O,CYP1A1; CYP3A4; CYP3A5; CYP3A7,estrone,MetXBioDB
estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,6beta-estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4[C@H](O)C[C@H]3[C@@H]1CCC2=O,CYP3A4; CYP3A5; CYP3A7,estrone,MetXBioDB
estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,7alpha-OH-estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](O)C3[C@@H]1CCC2=O,CYP1A1,estrone,MetXBioDB
estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,15alpha-OH-estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CCC3[C@@H]1[C@@H](O)CC2=O,CYP1A1; CYP3A7,estrone,MetXBioDB
estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,16alpha-OH-estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CCC3[C@@H]1C[C@@H](O)C2=O,CYP1A1; CYP2C8; CYP3A4; CYP3A5; CYP3A7,estrone,MetXBioDB
estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,16beta-OH-estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CCC3[C@@H]1C[C@H](O)C2=O,CYP2C8; CYP3A4; CYP3A5,estrone,MetXBioDB
eszopiclone,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,N-desmethyl-zopiclone,O=C(OC1c2nccnc2C(=O)N1c1ccc(Cl)cn1)N1CCNCC1,CYP2C8;CYP2C9;CYP2C19;CYP2D6;CYP3A4,eszopiclone,MetXBioDB
eszopiclone,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,N-oxide-zopiclone,C[N+]1([O-])CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,CYP2C8;CYP2C9;CYP2C19;CYP2D6;CYP3A4,eszopiclone,MetXBioDB
ethanol,CCO,Acetaldehyde,CC=O,CYP2E1,ethanol,MetXBioDB
ethiprole,CCS(=O)c1c(C#N)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N,Ethiprole Sulfone,CCS(=O)(=O)c1c(C#N)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N,CYP3A4,ethiprole,MetXBioDB
ethylmethylnitrosamine,CCN(C)N=O,,CCN=NO,CYP2A6;CYP2B6;CYP2C8;CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4,ethylmethylnitrosamine,MetXBioDB
ethylmethylnitrosamine,CCN(C)N=O,,CN=NO,CYP2A6;CYP2B6;CYP2C8;CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4,ethylmethylnitrosamine,MetXBioDB
ethylmorphine,CCOc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,Norethylmorphine,CCOc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341,CYP2D6,ethylmorphine,MetXBioDB
ethylmorphine,CCOc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,Morphine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,CYP3A4,ethylmorphine,MetXBioDB
etizolam,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,,CCc1cc2c(s1)-n1c(C)nnc1C(O)N=C2c1ccccc1Cl,CYP2B6;CYP2C19;CYP3A4,etizolam,MetXBioDB
etizolam,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,,Cc1nnc2n1-c1sc(C(C)O)cc1C(c1ccccc1Cl)=NC2,CYP2B6;CYP2C19;CYP3A4,etizolam,MetXBioDB
etoperidone,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,,CCCn1nc(CC)n(CC)c1=O,CYP3A4,etoperidone,MetXBioDB
etoperidone,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,,Clc1cccc(N2CCNCC2)c1,CYP3A4,etoperidone,MetXBioDB
etoperidone,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,,CCc1nn(CCCN2CCN(c3ccc(O)c(Cl)c3)CC2)c(=O)n1CC,CYP3A4,etoperidone,MetXBioDB
etoperidone,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,,CCn1c(C(C)O)nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c1=O,CYP3A4,etoperidone,MetXBioDB
etoposide,COc1cc([C@@H]2c3cc4c(cc3[C@H](O[C@H]3O[C@H]5CO[C@@H](C)O[C@@H]5[C@@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,Etoposide Catechol,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(O)c1O,CYP1A2;CYP2E1;CYP3A4,etoposide,MetXBioDB
etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,6-Hydroxymethyletoricoxib,CS(=O)(=O)c1ccc(-c2cc(Cl)cnc2-c2ccc(CO)nc2)cc1,CYP3A4 (major); CYP2C9 (minor); CYP2D6 (minor); CYP1A2 (minor),etoricoxib,MetXBioDB
etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,Etoricoxib 1'-N'-oxide,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)c[n+]1[O-],CYP3A4 (major); CYP2C9 (minor); CYP2D6 (minor); CYP1A2 (minor),etoricoxib,MetXBioDB
eugenol,C=CCc1ccc(O)c(OC)c1,Hydroxychavicol,C=CCc1ccc(O)c(O)c1,CYP1A2;CYP2C9;CYP2D6;CYP2E1,eugenol,MetXBioDB
eupatilin,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1OC,Jaceosidine,COc1cc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)ccc1O,CYP1A2;CYP2C8;CYP2C9;CYP2C19;CYP2D6;CYP2E1,eupatilin,MetXBioDB
everolimus,CO[C@@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(/C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C\C=C\C=C\1C,,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(/C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CYP3A4,everolimus,MetXBioDB
everolimus,CO[C@@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(/C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C\C=C\C=C\1C,,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](O)C2)CC(=O)[C@H](C)/C=C(/C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CYP3A4,everolimus,MetXBioDB
ezlopitant,COc1ccc(C(C)C)cc1CN[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1,,C=C(C)c1ccc(OC)c(CNC2C3CCN(CC3)C2C(c2ccccc2)c2ccccc2)c1,CYP2D6;CYP3A4,ezlopitant,MetXBioDB
ezlopitant,COc1ccc(C(C)C)cc1CN[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1,,COc1ccc(C(C)(C)O)cc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,CYP2D6;CYP3A4,ezlopitant,MetXBioDB
fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,Norfentanyl,CCC(=O)N(c1ccccc1)C1CCNCC1,CYP3A4,fentanyl,MetXBioDB
fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,Phenylacetaldehyde,O=CCc1ccccc1,CYP3A4,fentanyl,MetXBioDB
finasteride,CC(C)(C)N=C(O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4N=C(O)C=C[C@]4(C)[C@H]3CC[C@]12C,,CC(C)(CO)N=C(O)C1CCC2C3CCC4N=C(O)C=CC4(C)C3CCC12C,CYP3A4,finasteride,MetXBioDB
fk_506,C=CC[C@@H]1/C=C(/C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@H](O)CC1=O)[C@H](C)C[C@@H]2OC,13-O-Desmethyltacrolimus,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2O,CYP3A4; CYP3A5,fk_506,MetXBioDB
fk_506,C=CC[C@@H]1/C=C(/C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@H](O)CC1=O)[C@H](C)C[C@@H]2OC,15-O-Desmethyltacrolimus,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](O)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,CYP3A4,fk_506,MetXBioDB
fk_506_m1,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@@H](O)[C@H]2C[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@@H](/C(C)=C/[C@@H]2CC[C@@H](O)[C@H](OC)C2)[C@H](C)[C@@H](O)CC1=O,13-Desmethyl_fk_506,C=CCC1/C=C(\C)CC(C)CC(O)C(O)C2CC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(/C(C)=C/C2CCC(O)C(OC)C2)C(C)C(O)CC1=O,CYP3A4,fk_506_m1,MetXBioDB
flosequinan,Cn1cc(S(C)=O)c(=O)c2ccc(F)cc21,flosequinan sulfone,Cn1cc(S(C)(=O)=O)c(=O)c2ccc(F)cc21,CYP3A4,flosequinan,MetXBioDB
flucloxacillin,Cc1onc(-c2c(F)cccc2Cl)c1C(O)=N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,,CC1(C)SC2C(N=C(O)c3c(-c4c(F)cccc4Cl)noc3CO)C(=O)N2C1C(=O)O,CYP3A4,flucloxacillin,MetXBioDB
flunarizine,Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1,1Ã¢â‚¬Â[bis(4Ã¢â‚¬Âfluorophenyl)methyl]piperazine,Fc1ccc(C(c2ccc(F)cc2)N2CCNCC2)cc1,CYP1A2; CYP2C9,flunarizine,MetXBioDB
flunarizine,Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1,p-Hydroxyflunarizine,Oc1ccc(/C=C/CN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,CYP2D6,flunarizine,MetXBioDB
flunarizine,Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1,bis(4Ã¢â‚¬Âfluorophenyl)methanone,O=C(c1ccc(F)cc1)c1ccc(F)cc1,CYP2C9; CYP1A1,flunarizine,MetXBioDB
fluphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,10-{3-[4-(2-hydroxyethyl)piperazin-1-yl]propyl}-2-(trifluoromethyl)-10H-5ÃŽÂ»Ã¢ÂÂ´-phenothiazin-5-one,O=S1c2ccccc2N(CCCN2CCN(CCO)CC2)c2cc(C(F)(F)F)ccc21,CYP2D6,fluphenazine,MetXBioDB
flunitrazepam,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,desmethylflunitrazepam,O=[N+]([O-])c1ccc2c(c1)C(c1ccccc1F)=NCC(O)=N2,CYP1A2;CYP2A6;CYP2B6;CYP2C8;CYP2C9;CYP2C19;CYP2D6;CYP3A4,flunitrazepam,MetXBioDB
flunitrazepam,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,3-hydroxyflunitrazepam,CN1C(=O)C(O)N=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,CYP2A6;CYP3A4,flunitrazepam,MetXBioDB
flutamide,CC(C)C(O)=Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,2-OH-flutamide,CC(C)(O)C(O)=Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,CYP1A2; CYP1B1,flutamide,MetXBioDB
fluvastatin,CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,6-OH-fluvastatin,CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccc(O)cc21,CYP2C9,fluvastatin,MetXBioDB
fluvastatin,CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,N-Deisopropyl-fluvastatin,O=C(O)C[C@@H](O)C[C@@H](O)/C=C/c1[nH]c2ccccc2c1-c1ccc(F)cc1,CYP2C9,fluvastatin,MetXBioDB
fluvastatin,CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,5-OH-fluvastatin,CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2cc(O)ccc21,CYP2C9 (major); CYP2C8 (minor); CYP2D6 (minor); CYP3A4 (minor),fluvastatin,MetXBioDB
fluvoxamine,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,Fluvoxamino alcohol,NCCO/N=C(\CCCCO)c1ccc(C(F)(F)F)cc1,CYP2D6 (major); CYP1A2 (minor),fluvoxamine,MetXBioDB
formononetin,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,Daidzein,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,CYP1A2,formononetin,MetXBioDB
furafylline,Cc1nc2c(=O)n(C)c(=O)n(Cc3ccco3)c2[nH]1,"3-[(furan-2-yl)methyl]-8-hydroxy-1-methyl-2,3,6,7-tetrahydro-1H-purine-2,6-dione   ",Cn1c(=O)c2nc(CO)[nH]c2n(Cc2ccco2)c1=O,CYP1A2,furafylline,MetXBioDB
furan,c1ccoc1,(E)-2-Butenedial,O=C/C=C\C=O,CYP2E1,furan,MetXBioDB
galangin,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,4'-OH-galangin,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,CYP1A2 ; CYP2C9,galangin,MetXBioDB
galantamine,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,O-Desmethylgalantamine,CN1CC[C@@]23C=C[C@H](O)C[C@@H]2Oc2c(O)ccc(c23)C1,CYP2D6,galantamine,MetXBioDB
galantamine,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,Galantamine N-oxide,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CC[N+](C)([O-])C2,CYP3A4,galantamine,MetXBioDB
galantamine,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,N-desmethylgalantamine,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCNC2,CYP2D6,galantamine,MetXBioDB
gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,,Oc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,CYP2D6,gefitinib,MetXBioDB
gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,,COc1cc2ncnc(Nc3ccc(O)c(Cl)c3)c2cc1OCCCN1CCOCC1,CYP3A4,gefitinib,MetXBioDB
genistein,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,Orobol,O=c1c(-c2ccc(O)c(O)c2)coc2cc(O)cc(O)c12,CYP1A2;CYP2E1,genistein,MetXBioDB
genistein,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,,O=c1c(-c2ccc(O)c(O)c2)coc2cc(O)cc(O)c12,CYP1A2,genistein,MetXBioDB
gepirone,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,,CC1(C)CC(=O)N(CCCCN2CCN(c3ncc(O)cn3)CC2)C(=O)C1O,CYP3A4,gepirone,MetXBioDB
gepirone,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,,CC1(C)CC(=O)N(CCCCN2CCN(c3ncc(O)cn3)CC2)C(=O)C1,CYP3A4,gepirone,MetXBioDB
gepirone,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1O,CYP3A4,gepirone,MetXBioDB
gepirone,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,1-(2-pyrimidinyl)-piperazine (1-PP),c1cnc(N2CCNCC2)nc1,CYP3A4,gepirone,MetXBioDB
granisetron,CN1[C@@H]2CCC[C@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2,7-Hydroxygranisetron,CN1[C@@H]2CCC[C@H]1CC(NC(=O)c1nn(C)c3cccc(O)c13)C2,CYP1A1,granisetron,MetXBioDB
granisetron,CN1[C@@H]2CCC[C@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2,9'-Desmethylgranisetron,CN1[C@@H]2CCC[C@H]1CC(NC(=O)c1n[nH]c3ccccc13)C2,CYP3A4 (major); CYP1A1; CYP2D6; CYP3A5,granisetron,MetXBioDB
gts-21,COc1ccc(/C=C2\CCCN=C2c2cccnc2)c(OC)c1,4-OH-GTS-21,COc1cc(O)ccc1/C=C1\CCCN=C1c1cccnc1,CYP1A2;CYP2E1;CYP3A4,gts-21,MetXBioDB
gts-21,COc1ccc(/C=C2\CCCN=C2c2cccnc2)c(OC)c1,2-OH-GTS-21,COc1ccc(/C=C2\CCCN=C2c2cccnc2)c(O)c1,CYP1A2;CYP2E1;CYP3A4,gts-21,MetXBioDB
guanabenz,N=C(N)N/N=C/c1c(Cl)cccc1Cl,Guanoxabenz,N=C(NO)N/N=C/c1c(Cl)cccc1Cl,CYP1A2,guanabenz,MetXBioDB
haloperidol,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,p-Fluorobenzoylpropionic acid and 4-(4-chlorophenyl)-4-hydroxypiperidine,O=C(O)CCC(=O)c1ccc(F)cc1,CYP3A4; CYP2D6,reduced_haloperidol,MetXBioDB
haloperidol,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,Haloperidol pyridinium,O=C(CCCN1C=CC(=C2C=CC(=[Cl+])C=C2)C=C1)c1ccc(F)cc1,CYP3A4,reduced_haloperidol,MetXBioDB
harmaline,COc1ccc2c3c([nH]c2c1)C(C)=NCC3,Harmalol,CC1=NCCc2c1[nH]c1cc(O)ccc21,CYP2D6 (major); CYP1A2 (minor),harmaline,MetXBioDB
harmine,COc1ccc2c(c1)[nH]c1c(C)nccc12,Harmol,COc1cc2[nH]c3c(C)nccc3c2cc1O,CYP2D6 (major); CYP2C9 (minor); CYP2C19 (minor); CYP1A2 (minor),harmine,MetXBioDB
harmine,COc1ccc2c(c1)[nH]c1c(C)nccc12,6-OH-harmaline,Cc1nccc2c1[nH]c1cc(O)ccc12,CYP2D6,harmine,MetXBioDB
hexamethylphosphoramide,CN(C)P(=O)(N(C)C)N(C)C,,CNP(=O)(N(C)C)N(C)C,CYP2A6,hexamethylphosphoramide,MetXBioDB
hexane,CCCCCC,Hexanol,CCCCC(C)O,CYP2B6; CYP2E1,hexane,MetXBioDB
hydrocodone,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,Hydromorphone,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,CYP2D6,hydrocodone,MetXBioDB
hydrocodone,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,Norhydromorphone,COc1ccc2c3c1OC1C(=O)CCC4C(C2)NCCC314,CYP3A4,hydrocodone,MetXBioDB
ibrolipim,CCOP(=O)(Cc1ccc(C(O)=Nc2ccc(Br)cc2C#N)cc1)OCC,,CCOP(=O)(O)Cc1ccc(C(O)=Nc2ccc(Br)cc2C#N)cc1,CYP2C8;CYP3A4,ibrolipim,MetXBioDB
iloperidone,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,"4-[3-[4-(6-fluoro-1,2-benzisoxazol-3-yl)-1-piperidinyl]propoxy]-3-methoxy-a-methylbenzene methanol",COc1cc(C(C)O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,CYP1A2;CYP2E1;CYP3A4,iloperidone,MetXBioDB
iloperidone,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,"1-[4-[3-[4-(6-fluoro-1,2-benzisoxazol-3-yl)-1-piperidinyl]- propoxy]-3-hydroxyphenyl]ethanone",CC(=O)c1ccc(OCCCN2CCC(c3noc4cc(F)ccc34)CC2)c(O)c1,CYP3A4,iloperidone,MetXBioDB
iloperidone,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,"1-[4-[3-[4-(6-fluoro-1,2-benzisoxazol-3-yl)-1-piperidinyl]propoxy]-3-methoxyphenyl]-2-hydroxyethanone",COc1cc(C(=O)CO)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,CYP2D6,iloperidone,MetXBioDB
imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,N-desmethylimatinib,Cc1ccc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,CYP3A4 (major); CYP2C8,imatinib,MetXBioDB
imidacloprid,O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1,5-hydroxy-imidacloprid,O=[N+]([O-])NC1=NCC(O)N1Cc1ccc(Cl)nc1,CYP3A4,imidacloprid,MetXBioDB
imidacloprid,O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1,olefin,O=[N+]([O-])Nc1nccn1Cc1ccc(Cl)nc1,CYP3A4,imidacloprid,MetXBioDB
imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,2-Hydroxyimipramine ,CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21,CYP2C19 (major); CYP2D6 ,imipramine,MetXBioDB
imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,Desimipramine ,CNCCCN1c2ccccc2CCc2ccccc21,CYP2C19; CYP2C18; CYP2D6; CYP1A2 ,imipramine,MetXBioDB
indinavir,CC(C)(C)N=C(O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(O)=N[C@H]1c2ccccc2C[C@H]1O,,CC(C)(C)N=C(O)C1CN(Cc2ccc[n+]([O-])c2)CCN1CC(O)CC(Cc1ccccc1)C(O)=NC1c2ccccc2CC1O,CYP3A4,indinavir,MetXBioDB
indinavir,CC(C)(C)N=C(O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(O)=N[C@H]1c2ccccc2C[C@H]1O,,CC(C)(C)N=C(O)C1CNCCN1CC(O)CC(Cc1ccccc1)C(O)=NC1c2ccccc2CC1O,CYP3A4,indinavir,MetXBioDB
indinavir,CC(C)(C)N=C(O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(O)=N[C@H]1c2ccccc2C[C@H]1O,,CC(C)(C)N=C(O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccc(O)cc1)C(O)=NC1c2ccccc2CC1O,CYP3A4,indinavir,MetXBioDB
indinavir,CC(C)(C)N=C(O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(O)=N[C@H]1c2ccccc2C[C@H]1O,,CC(C)(C)N=C(O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(O)=NC1c2ccccc2C(O)C1O,CYP3A4,indinavir,MetXBioDB
