dbid,name,smiles
DB03473,N5-Methylglutamine,CNC(=O)CC[C@H](N)C(=O)O
DB03474,Reactive Red 1 Dye,Nc1nc(N)nc(Nc2cc(S(=O)(=O)O)cc3cc(S(=O)(=O)O)c(/N=N/c4ccccc4S(=O)(=O)O)c(O)c23)n1
DB03475,"1-[4-Carboxy-2-(3-Pentylamino)Phenyl]-5,5'-Di(Hydroxymethyl)Pyrrolidin-2-One",CCC(CC)Nc1cc(C(=O)O)ccc1N1C(=O)CCC1(CO)CO
DB03476,Trans-6-(2-Phenylcyclopropyl)-Naphthalene-2-Carboxamidine,N=C(N)c1ccc2cc([C@@H]3C[C@H]3c3ccccc3)ccc2c1
DB03477,1-Phenylsulfonamide-3-Trifluoromethyl-5-Parabromophenylpyrazole,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Br)cc2)cc1
DB03478,2'-O-Acetyl Adenosine-5-Diphosphoribose,CC(=O)O[C@@H]1[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)O[C@@H]1O
DB03479,"8,9,10-trihydroxy-7-hydroxymethyl-3-methyl-6-oxa-1,3-diaza-spiro[4.5]decane-2,4-dione",CN1C(=O)N[C@@]2(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O
DB03480,Brequinar Analog,Cc1c(-c2ccc(-c3ccccc3)cc2)nc2ccc(F)cc2c1C(=O)O
DB03481,"5,10-Dimethylene Tetrahydromethanopterin",C[C@H]1Nc2nc(N)[nH]c(=O)c2N2CN(c3ccc(C[C@@H](O)[C@@H](O)[C@H](O)CO[C@H]4O[C@H](CO[P@](=O)(O)O[C@@H](CCC(=O)O)C(=O)O)[C@@H](O)[C@@H]4O)cc3)[C@@H](C)[C@H]12
DB03482,8-demethyl-8-dimethylamino-flavin-adenine-dinucleotide,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO[P@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1N(C)C
DB03483,(4S)-5-[[(2S)-1-[[(2S)-1-Amino-3-[4-[difluoro(phosphono)methyl]phenyl]-1-oxopropan-2-yl]amino]-3-[4-[difluoro(phosphono)methyl]phenyl]-1-oxopropan-2-yl]amino]-4-benzamido-5-oxopentanoic acid,NC(=O)[C@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(=O)[C@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(=O)[C@H](CCC(=O)O)NC(=O)c1ccccc1
DB03484,sn-glycero-3-phosphoethanolamine,NCCOP(=O)(O)OC[C@@H](O)CO
DB03485,alpha-D-Fucopyranose,C[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
DB03486,Phosphomethylphosphonic acid guanosyl ester,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)CP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
DB03487,(S)-Aspartimide,N[C@H]1CC(=O)NC1=O
DB03488,Uridine-5'-diphosphate-2-deoxy-2-fluoro-alpha-D-galactose,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3F)[C@@H](O)[C@H]2O)c(=O)[nH]1
DB03489,2-Keto-3-Deoxygluconate,O=C(O)C(=O)C[C@H](O)[C@@H](O)CO
DB03490,"3-Pyridin-4-Yl-2,4-Dihydro-Indeno[1,2-.C.]Pyrazole",c1ccc2c(c1)Cc1c-2n[nH]c1-c1ccncc1
DB03491,2'-Deoxyguanosine-5'-Diphosphate,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1
DB03492,"lambda-bis(2,2'-bipyridine)imidazole osmium (II)",c1ccn2->[Os+2]3(n4ccnc4)(<-n4ccccc4-c2c1)<-n1ccccc1-c1ccccn->31
DB03493,7-Methylguanosine,Cn1c[n+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2[nH]c(N)nc(=O)c21
DB03495,"4,6-Dideoxy-4-{[4,5,6-Trihydroxy-3-(Hydroxymethyl)Cyclohex-2-En-1-Yl]Amino}-Alpha-D-Lyxo-Hexopyranosyl-(1->4)-Alpha-D-Threo-Hexopyranosyl-(1->6)-Alpha-L-Threo-Hexopyranose",C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](OC[C@H]3O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]3O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
DB03496,Alvocidib,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1
DB03497,L-serine O-sulfate,N[C@@H](COS(=O)(=O)O)C(=O)O
DB03498,Mercaptomethyl Phosphonate,O=P([O-])([O-])CS
DB03499,D-Malic acid,O=C(O)C[C@@H](O)C(=O)O
DB03500,Tricosanoic acid,CCCCCCCCCCCCCCCCCCCCCCC(=O)O
DB03501,Galactose-uridine-5'-diphosphate,O=c1ccn([C@@H]2O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
DB03502,(4s)-4-{[(2s)-2-Amino-3-Oxopropyl]Sulfanyl}-L-Homoserinate,N[C@@H](CS[C@@H](O)C[C@H](N)C(=O)O)C(=O)O
DB03503,"4-Acetyl-4-guanidino-6-methyl(propyl)carboxamide-4,5-dihydro-2H-pyran-2-carboxylic acid",CCCN(C)C(=O)[C@@H]1OC(C(=O)O)=C[C@H](NC(=N)N)[C@H]1NC(C)=O
DB03504,"9-Butyl-8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9h-Purin-6-Ylamine",CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)ncnc21
DB03505,"2,6-diaminoquinazolin-4-ol",Nc1ccc2nc(N)nc(O)c2c1
DB03506,"5H-pyrrolo[3,2-d]pyrimidin-4-amine",Nc1ncnc2cc[nH]c12
DB03507,"6-[3-(4-Morpholinyl)Propyl]-2-(3-Nitrophenyl)-5-Thioxo-5,6,-Dihydro-7h-Thienol[2',3':4,5]Pyrrolo[1,2-C]Imidazol-7-One",O=C1c2cc3sc(-c4cccc([N+](=O)[O-])c4)cc3n2C(=S)N1CCCN1CCOCC1
DB03508,Diethylene glycol ethyl methyl ether,CCOCCOCCOC
DB03509,2-(4-Chlorophenyl)-5-Quinoxalinecarboxamide,NC(=O)c1cccc2ncc(-c3ccc(Cl)cc3)nc12
DB03510,6-O-Phosphoryl Inosine Monophosphate,O=P(O)(O)OC[C@H]1O[C@@H](n2cnc3c(OP(=O)(O)O)ncnc32)[C@H](O)[C@@H]1O
DB03511,alpha-D-galacturonic acid,O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O
DB03512,"Uridine-2',3'-vanadate",O=c1ccn([C@@H]2O[C@@H](CO)[C@H]3O[V](=O)(O)(O)O[C@@H]32)c(=O)[nH]1
DB03513,"(S)-2-Amino-3-(4h-Selenolo[3,2-B]-Pyrrol-6-Yl)-Propionic Acid",N[C@@H](Cc1c[nH]c2cc[se]c12)C(=O)O
DB03514,4-Vinylguaiacol,C=Cc1ccc(O)c(OC)c1
DB03515,Equilenin,C[C@]12CCc3c(ccc4cc(O)ccc34)[C@@H]1CCC2=O
DB03516,Eniluracil,C#Cc1c[nH]c(=O)[nH]c1=O
DB03517,[Methylthio]Acetate,CSCC(=O)[O-]
DB03518,Mevalonic acid,C[C@@](O)(CCO)CC(=O)O
DB03520,6-Chloro-2-fluoropurine,Fc1nc(Cl)c2nc[nH]c2n1
DB03522,Aspartic Acid-4-Carboxymethyl Ester,N[C@@H](CC(=O)OCC(=O)O)C(=O)O
DB03523,Brequinar,Cc1c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc2c1C(=O)O
DB03524,"N-[3-[4-(3-aminopropyl)piperazin-1-yl]propyl]-3-[(2-thiophen-2-ylacetyl)amino]-5-[(2R,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybenzamide",NCCCN1CCN(CCCNC(=O)c2cc(NC(=O)Cc3cccs3)cc(O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)c2)CC1
DB03525,RU79073,O=P(O)(O)Oc1cccc2c1NCCC2
DB03526,AL5927,COc1ccc(CNS(=O)(=O)c2ccc(S(N)(=O)=O)s2)cc1
DB03528,9-Beta-D-Xylofuranosyl-Adenine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@H](O)[C@H]1O
DB03530,Acylated ceftazidime,C=C1CS[C@H]([C@@H](C=O)NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)N=C1C(=O)O
DB03531,Flavin-adenine dinucleotide-N5-isobutyl ketone,Cc1cc2c(cc1C)N(C(=O)C(C)C)c1c([O-])nc(=O)[nH]c1N2C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H]([N+]2=CN=C3C(=N)N=CN=C32)[C@H](O)[C@@H]1O
DB03532,Phosphomethylphosphonic acid guanylate ester,Nc1nc(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)CP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1
DB03533,Acetyleneurea,O=C1N[C@H]2NC(=O)N[C@H]2N1
DB03534,3-[(Acetyl-Methyl-Amino)-Methyl]-4-Amino-N-Methyl-N-(1-Methyl-1h-Indol-2-Ylmethyl)-Benzamide,CC(=O)N(C)Cc1cc(C(=O)N(C)Cc2cc3ccccc3n2C)ccc1N
DB03535,Z-Pro-Prolinal,O=C[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)OCc1ccccc1
DB03536,Benzyl N-[(2S)-5-(diaminomethylamino)-1-[[(2S)-4-fluoro-3-oxobutan-2-yl]amino]-1-oxopentan-2-yl]carbamate,C[C@H](NC(=O)[C@H](CCCNC(N)N)NC(=O)OCc1ccccc1)C(=O)CF
DB03537,[4-(4-Hydroxy-Benzyl)-2-(2-Hydroxy-1-Methyl-Ethyl)-5-Oxo-Imidazolidin-1-Yl]-Acetic Acid,N[C@@H](CO)C1=N/C(=C\c2ccc(O)cc2)C(=O)N1CC(=O)O
DB03539,2-(Acetylamino)-2-Deoxy-6-O-Methyl-Alpha-D-Allopyranose,C=NC1=N[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)[C@@H]2O1
DB03540,Norcamphor,O=C1C[C@H]2CC[C@@H]1C2
DB03541,"10-Propargyl-5,8-Dideazafolic Acid",C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
DB03542,L-Myo-Inositol-1-Phosphate,O=P([O-])([O-])O[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O
DB03543,1-(O-Carboxy-Phenylamino)-1-Deoxy-D-Ribulose-5-Phosphate,O=C(O)c1ccccc1NC[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
DB03544,S-Phosphocysteine,N[C@@H](CSP(=O)(O)O)C(=O)O
DB03546,"N-({4-[(1R)-4-[(2R,4S,5S)-2,4-diamino-6-oxohexahydropyrimidin-5-yl]-1-(2,2,2-trifluoro-1,1-dihydroxyethyl)butyl]phenyl}carbonyl)-L-glutamic acid",N[C@H]1N=C(O)C(CCC[C@H](c2ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2)C(O)(O)C(F)(F)F)[C@@H](N)N1
DB03548,3-deoxy-alpha-D-manno-oct-2-ulopyranosonic acid,O=C(O)[C@@]1(O)C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O1
DB03549,Biotinyl P-Nitroaniline,O=C(CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)Nc1ccc([N+](=O)[O-])cc1
DB03550,Isopenicillin N,CC1(C)S[C@@H]2[C@H](NC(=O)CCC[C@H](N)C(=O)O)C(=O)N2[C@H]1C(=O)O
DB03551,"(3R,4R)-3-Hydroxy-4-(hydroxymethyl)-1-[(4-oxo-4,4a,5,7a-tetrahydro-3H-pyrrolo[3,2-d]pyrimidin-7-yl)methyl]pyrrolidinium",O=C1NC=NC2C(C[NH+]3C[C@H](CO)[C@@H](O)C3)=CNC12
DB03552,3-Tyrosine,N[C@@H](Cc1cccc(O)c1)C(=O)O
DB03553,Glutaric Acid,O=C(O)CCCC(=O)O
DB03554,5-Iodouracil,O=c1[nH]cc(I)c(=O)[nH]1
DB03555,CRA_11092,C[C@H]1CCCC[C@@H]1Oc1cccc(-c2nc3cc(C(=N)N)c(F)cc3[nH]2)c1O
DB03556,"2-(2-{2-[2-(2-{2-[2-(2-Ethoxy-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethanol, Polyethyleneglycol Peg400",CCOCCOCCOCCOCCOCCOCCOCCOCCO
DB03557,4-[[(2S)-1-[[6-[(1-Amino-1-oxo-3-sulfanylpropan-2-yl)amino]-6-oxohexyl]amino]-3-[4-[difluoro(phosphono)methyl]phenyl]-1-oxopropan-2-yl]amino]-3-[[2-[4-[difluoro(phosphono)methyl]phenyl]acetyl]amino]-4-oxobutanoic acid,NC(=O)C(CS)NC(=O)CCCCCNC(=O)[C@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(=O)C(CC(=O)O)NC(=O)Cc1ccc(C(F)(F)P(=O)(O)O)cc1
DB03558,SP-876,O=C(O)CCNC(=O)[C@H]1CCCN1S(=O)(=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
DB03559,Cyclohexylformamide,O=CNC1CCCCC1
DB03560,P-Hydroxybenzaldehyde,O=Cc1ccc(O)cc1
DB03562,Tetrahydrodeoxyuridine,O=C1CCN(C2C[C@H](O)[C@@H](CO)O2)C(=O)N1
DB03564,"(4r)-2-Methylpentane-2,4-Diol",C[C@H](O)CC(C)(C)O
DB03565,1-O-Octyl-2-Heptylphosphonyl-Sn-Glycero-3-Phosphoethanolamine,CCCCCCCCOC[C@H](COP(=O)(O)OCCN)OP(=O)(O)CCCCCCC
DB03566,Spermidine,NCCCCNCCCN
DB03567,alpha-N-Acetyl-D-galactosamine,CC(=O)N[C@@H]1[C@@H](O)[C@@H](O)[C@@H](CO)O[C@@H]1O
DB03568,Butyric Acid,CCCC(=O)O
DB03569,"4,5-Dehydro-L-Iduronic Acid",O=C(O)C1=C(O)[C@H](O)[C@@H](O)[C@H](O)O1
DB03570,Tris-Hydroxymethyl-Methyl-Ammonium,C[N+](CO)(CO)CO
DB03571,"3-(5-amino-7-hydroxy-[1,2,3]triazolo[4,5-d]pyrimidin-2-yl)-N-(3,5-dichlorobenzyl)-benzamide",Nc1nc(O)c2nn(-c3cccc(C(=O)NCc4cc(Cl)cc(Cl)c4)c3)nc2n1
DB03572,FR230513,NC(=O)c1cn([C@@H](CO)CCc2cccc3ccccc23)cn1
DB03573,WRR-99,CC(C)CCNC(=O)[C@@H](CCc1ccccc1)NC(=O)[C@@H](O)CC(=O)O
DB03574,Ferricrocin-iron,CC(=[OH+])N(O)CCC[C@@H]1NC(=O)CNC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CCCN(O)C(C)=[OH+])NC(=O)[C@H](CCCN(O)C(C)=[OH+])NC1=O.[Fe]
DB03575,Phencyclidine,c1ccc(C2(N3CCCCC3)CCCCC2)cc1
DB03576,N-Pyridoxyl-Threonine-5-Monophosphate,Cc1ncc(COP(=O)(O)O)c(CNC(C(=O)O)C(C)O)c1O
DB03577,Alpha-Benzyl-Aminobenzyl-Phosphonic Acid,O=P(O)(O)[C@@H](NCc1ccccc1)c1ccccc1
DB03578,Pyruvamide,CC(=O)C(N)=O
DB03581,Glucose-6-Phosphate,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
DB03582,N~2~-Succinylornithine,NCCC[C@H](NC(=O)CCC(=O)O)C(=O)O
DB03583,"(2E,3S)-3-hydroxy-5'-[(4-hydroxypiperidin-1-yl)sulfonyl]-3-methyl-1,3-dihydro-2,3'-biindol-2'(1'H)-one",C[C@@]1(O)/C(=C2/C(=O)Nc3ccc(S(=O)(=O)N4CCC(O)CC4)cc32)Nc2ccccc21
DB03584,4-Thio-beta-D-glucopyranose,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1S
DB03585,Oxyphenbutazone,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O
DB03586,"(3R,4R,5S,6R)-6-Fluoro-3,4,5-trihydroxytetrahydro-2H-pyran-2-olate",[O-]C1O[C@H](F)[C@@H](O)[C@H](O)[C@H]1O
DB03587,Pyruvaldehyde,CC(=O)C=O
DB03588,Diphenylacetic acid,O=C(O)C(c1ccccc1)c1ccccc1
DB03589,Mesoxalic acid,O=C(O)C(=O)C(=O)O
DB03590,"2,6-Diaminopimelic Acid",N[C@@H](CCC[C@H](N)C(=O)O)C(=O)O
DB03591,RU82209,CC(=O)N[C@@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O
DB03592,Pterin-6-Yl-Methyl-Monophosphate,Nc1nc2ncc(COP(=O)(O)O)nc2c(=O)[nH]1
DB03593,7-methyl-5'-guanylic acid,C[n+]1cn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21
DB03594,"1,2,4-Triazole",c1nc[nH]n1
DB03595,CRA_9785,NC(=[NH2+])c1ccc2[nH]c(-c3cc(OC(F)(F)F)ccc3[O-])nc2c1
DB03596,N-[2-(1h-Indol-5-Yl)-Butyl]-4-Sulfamoyl-Benzamide,CC[C@H](CNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc2[nH]ccc2c1
DB03597,gamma-Glutamyl[S-(2-iodobenzyl)cysteinyl]glycine,N[C@@H](CCC(=O)N[C@@H](CSCc1ccccc1I)C(=O)NCC(=O)O)C(=O)O
DB03598,"Al-6629, [2h-Thieno[3,2-E]-1,2-Thiazine-6-Sulfonamide,2-(3-Methoxyphenyl)-3-(4-Morpholinyl)-, 1,1-Dioxide]",COc1cccc(N2C(CN3CCOCC3)=Cc3cc(S(N)(=O)=O)sc3S2(=O)=O)c1
DB03600,Capric acid,CCCCCCCCCC(=O)O
DB03601,5-deoxyflavanone,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21
DB03602,S-benzylglutathione,N[C@@H](CCC(=O)N[C@@H](CSCc1ccccc1)C(=O)NCC(=O)O)C(=O)O
DB03603,Glucaric acid,O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O
DB03604,Tiratricol,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1
DB03605,"(2s)-2-[(2,4-Dichloro-Benzoyl)-(3-Trifluoromethyl-Benzyl)-Amino]-3-Phenyl-Propionic Acid",O=C(O)[C@H](Cc1ccccc1)N(Cc1cccc(C(F)(F)F)c1)C(=O)c1ccc(Cl)cc1Cl
DB03606,(S)-Rolipram,COc1ccc([C@H]2CNC(=O)C2)cc1OC1CCCC1
DB03607,[(1R)-1-acetamido-2-(4-chlorophenyl)ethyl]-[(2S)-2-amino-3-hydroxy-3-oxo-propoxy]-dihydroxy-boron,CC(=O)N[C@@H](Cc1ccc(Cl)cc1)[B-](O)(O)OC[C@H](N)C(=O)O
DB03608,Diminazene,N=C(N)c1ccc(/N=N/Nc2ccc(C(=N)N)cc2)cc1
DB03609,3'-deoxyguanosine,Nc1nc(=O)c2ncn([C@@H]3O[C@H](CO)C[C@H]3O)c2[nH]1
DB03610,4-(trifluoromethyl)phenol,Oc1ccc(C(F)(F)F)cc1
DB03611,L-2-amino-4-methoxy-cis-but-3-enoic acid,CO/C=C\[C@H](N)C(=O)O
DB03612,3-Hydroxybutyryl-Coenzyme A,CC(O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
DB03613,4-hydroxyphenacyl coenzyme A,CC(C)(CO[P@](=O)(O)O[P@@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSCC(=O)c1ccc(O)cc1
DB03614,Mecobalamin,CC1=C2N3[C@@H]4[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]2[C@@H](O)[C@H](O[C@@H]2CO)n2c[n+](c5cc(C)c(C)cc52)[Co-3]325(C)[N+]3=C1[C@@H](CCC(N)=O)C(C)(C)C3=CC1=[N+]2C(=C(C)C2=[N+]5[C@]4(C)[C@@](C)(CC(N)=O)[C@@H]2CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]1CCC(N)=O
DB03615,Ribostamycin,NC[C@H]1O[C@H](O[C@H]2[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](N)C[C@@H]2N)[C@H](N)[C@@H](O)[C@@H]1O
DB03616,Kabiramide C,CO[C@H]([C@H](C)/C=C/N(C)CO)[C@@H](C)C(=O)CC[C@H](C)[C@H](C[C@@H]1OC(=O)C[C@@H](O[C@H](N)O)C[C@H](C)C[C@H](O)[C@H](C)[C@@H](OC)c2coc(n2)-c2coc(n2)-c2coc(n2)/C=C/C[C@H](OC)[C@H]1C)OC
DB03617,Modified Acarbose Hexasaccharide,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@@H]3C(CO)=C[C@H](N[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@H](O)O[C@@H]6C)O[C@@H]5CO)O[C@@H]4C)[C@H](O)[C@H]3O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
DB03618,2-(acetylamino)-2-deoxy-4-O-beta-D-galactopyranosyl-alpha-D-glucopyranose,CC(=O)N[C@@H]1[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@@H]1O
DB03619,Deoxycholic acid,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
DB03621,"L-709,587",CC[C@@H]1/C=C(\C)[C@@H](O)[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](Oc4ccc5c(ccn5C)c4)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
DB03622,"5-[4-(2-Hydroxyethyl)-1-piperidinyl]-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione",O=C1N=C(O)NC(=O)[C@@]1(c1ccccc1)N1CCC(CCO)CC1
DB03623,"9-(4-Hydroxyphenyl)-2,7-Phenanthroline",Oc1ccc(-c2cnc3ccc4ccncc4c3c2)cc1
DB03624,7-(Carboxyamino)-8-Amino-Nonanoic Acid,C[C@H](N)[C@@H](CCCCCC(=O)O)NC(=O)O
DB03626,"5-Methoxy-1,2-Dimethyl-3-(Phenoxymethyl)Indole-4,7-Dione",COC1=CC(=O)c2c(c(COc3ccccc3)c(C)n2C)C1=O
DB03627,Adamantane,C1C2CC3CC1CC(C2)C3
DB03628,ISO24,CCc1ccc(NC(=O)P(=O)(O)O)cc1
DB03629,Pyridoxal-5'-Phosphate-N-Oxide,Cc1c(O)c(C=O)c(COP(=O)(O)O)c[n+]1[O-]
DB03630,2-Iodobenzylthio Group,SCc1ccccc1I
DB03631,"3-(4-hydroxy-3-imino-6-oxo-cyclohexa-1,4-dienyl)-alanine",[H]/N=C1/C=C(C[C@H](N)C(=O)O)C(=O)C=C1O
DB03632,Argifin,CNC(=O)NC(=N)NCCC[C@@H]1NC(=O)[C@@H](C)NC(=O)C[C@@H](C(=O)O)NC(=O)C[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)N(C)C1=O
DB03633,Lpc-Ether,CCCCCCCCCCCCCCCCCCOC[C@@H](O)CO[P@](=O)(O)OCC[N+](C)(C)C
DB03634,"1,3-DI(N-Propyloxy-A-mannopyranosyl)-carbomyl 5-methyazido-benzene",[N-]=[N+]=NCc1cc(C(=O)NCCCO[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc(C(=O)NCCCO[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)c1
DB03635,Ethanesulfonic acid,CCS(=O)(=O)O
DB03636,Glycinamide,NCC(N)=O
DB03637,Guanidine-3-propanol,NC(N)=[NH+]CCCO
DB03638,Cytidyl-2'-5'-phospho-guanosine,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O[P@](=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)nc(N)[nH]c43)[C@H](O)[C@@H]2O)c(=O)n1
DB03639,1-Guanidinium-7-Aminoheptane,NCCCCCCCNC(N)N
DB03640,Beta-Hydroxyaspartic Acid,N[C@H](C(=O)O)[C@@H](O)C(=O)O
DB03641,"2'-deoxyuridine 5'-alpha,beta-imido-diphosphate",O=c1ccn([C@H]2C[C@H](O)[C@@H](CO[P@](=O)(O)NP(=O)(O)O)O2)c(=O)[nH]1
DB03642,N-[(2S)-4-Methyl-1-oxo-1-{[(4S)-3-oxo-1-(2-pyridinylsulfonyl)-4-azepanyl]amino}-2-pentanyl]-1-benzofuran-2-carboxamide,CC(C)C[C@H](NC(=O)c1cc2ccccc2o1)C(=O)N[C@H]1CCCN(S(=O)(=O)c2ccccn2)CC1=O
DB03643,CRA_1144,NC(=[NH2+])c1ccc2[nH]c(-c3ccccc3[O-])nc2c1
DB03644,3-hydroxyanthranilic acid,Nc1c(O)cccc1C(=O)O
DB03645,Phosphonoacetohydroxamic Acid,O=C(CP(=O)(O)O)NO
DB03646,"2,3-di-O-phytanyl-sn-glycerol",CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@@H](C)CCOC[C@@H](CO)OCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C
DB03647,3-[Isopropyl(4-Methylbenzoyl)Amino]-5-Phenylthiophene-2-Carboxylic Acid,Cc1ccc(C(=O)N(c2cc(-c3ccccc3)sc2C(=O)O)C(C)C)cc1
DB03648,"(2S,2'S)-2,2'-(1,2-Hydrazinediylbis{methylene[(2S)-1-oxo-2,1-hexanediyl]imino})bis(6-amino-N-phenylhexanamide)",CCCC[C@H](CNNC[C@H](CCCC)C(=O)N[C@@H](CCCCN)C(=O)Nc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)Nc1ccccc1
DB03649,"[{(5-Chloro-2-Pyridinyl)Amino} Methylene]-1,1-Bisphosphonate",O=P(O)(O)C(Nc1ccc(Cl)cn1)P(=O)(O)O
