parent_name,parent_smiles,child_name,child_smiles,origin,set,source
Levocetirizine,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,Levocetirizine,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,DB06282,train,Parent-Parent Augmented
4'-desethyl-drotaverine,CCOc1ccc(C=C2NCCc3cc(OCC)c(OCC)cc32)cc1O,4'-desethyl-drotaverine,CCOc1ccc(C=C2NCCc3cc(OCC)c(OCC)cc32)cc1O,DB06751,train,Parent-Parent Augmented
para-Hydroxyrosiglitazone,CN(CCOc1ccc(CC2SC(=O)N=C2O)cc1)c1ccc(O)cn1,para-Hydroxyrosiglitazone,CN(CCOc1ccc(CC2SC(=O)N=C2O)cc1)c1ccc(O)cn1,DB00412,train,Parent-Parent Augmented
"(2S,3R)-3-(4-Hydroxy-phenyl)-2-[4-(2-piperidin-1-yl-ethoxy)-phenyl]-2,3-dihydro-benzo[1,4]oxathiin-6-ol",Oc1ccc(C2Sc3cc(O)ccc3OC2c2ccc(OCCN3CCCCC3)cc2)cc1,"(2S,3R)-3-(4-Hydroxy-phenyl)-2-[4-(2-piperidin-1-yl-ethoxy)-phenyl]-2,3-dihydro-benzo[1,4]oxathiin-6-ol",Oc1ccc(C2Sc3cc(O)ccc3OC2c2ccc(OCCN3CCCCC3)cc2)cc1,"(2S,3R)-3-(4-Hydroxy-phenyl)-2-[4-(2-piperidin-1-yl-ethoxy)-phenyl]-2,3-dihydro-benzo[1,4]oxathiin-6-ol",train,Parent-Parent Augmented
p-Toluidine,Cc1ccc(N)cc1,p-Toluidine,Cc1ccc(N)cc1,p-Toluidine,train,Parent-Parent Augmented
rutaecarpine,O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,rutaecarpine,O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,rutaecarpine,train,Parent-Parent Augmented
Arverapamil,COc1ccc(CCNCCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,Arverapamil,COc1ccc(CCNCCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,DB06669,train,Parent-Parent Augmented
7-Hydroxy-6-methoxyisoflavone,COc1cc2c(=O)c(-c3ccccc3)coc2cc1O,7-Hydroxy-6-methoxyisoflavone,COc1cc2c(=O)c(-c3ccccc3)coc2cc1O,7-Hydroxy-6-methoxyisoflavone,train,Parent-Parent Augmented
Midazolam,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,Midazolam,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,DB00683,train,Parent-Parent Augmented
5-alpha androstanedione,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2=O,5-alpha androstanedione,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2=O,DB01420,train,Parent-Parent Augmented
Deacetyl-thymoxamine,Cc1ccc(C(C)C)c(OCCN(C)C)c1O,Deacetyl-thymoxamine,Cc1ccc(C(C)C)c(OCCN(C)C)c1O,DB09205,train,Parent-Parent Augmented
3-Hydroxymorphinan,Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3,3-Hydroxymorphinan,Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3,DB00514,train,Parent-Parent Augmented
"(2s,5s)-troglitazone",Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)N=C3O)cc1)O2,"(2s,5s)-troglitazone",Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)N=C3O)cc1)O2,"(2s,5s)-troglitazone",train,Parent-Parent Augmented
Galantamine,COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2,Galantamine,COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2,DB00674,train,Parent-Parent Augmented
N-Hydroxymexiletine,Cc1cccc(C)c1OCC(C)NO,N-Hydroxymexiletine,Cc1cccc(C)c1OCC(C)NO,N-Hydroxymexiletine,train,Parent-Parent Augmented
Ametryn,CCN=c1nc(SC)[nH]c(=NC(C)C)[nH]1,Ametryn,CCN=c1nc(SC)[nH]c(=NC(C)C)[nH]1,Ametryn,train,Parent-Parent Augmented
Diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,Diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,DB00586,train,Parent-Parent Augmented
Domperidone,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,Domperidone,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,DB01184,train,Parent-Parent Augmented
6-chrysenamine,Nc1cc2c3ccccc3ccc2c2ccccc12,6-chrysenamine,Nc1cc2c3ccccc3ccc2c2ccccc12,6-chrysenamine,train,Parent-Parent Augmented
Cefapirin,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1,Cefapirin,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1,DB01139,train,Parent-Parent Augmented
Desmethyl tedizolid,O=C1OC(CO)CN1c1ccc(-c2ccc(-c3nn[nH]n3)nc2)c(F)c1,Desmethyl tedizolid,O=C1OC(CO)CN1c1ccc(-c2ccc(-c3nn[nH]n3)nc2)c(F)c1,DB09042,train,Parent-Parent Augmented
4p-Hydroxyflavone,O=c1cc(-c2ccc(O)cc2)oc2ccccc12,4p-Hydroxyflavone,O=c1cc(-c2ccc(O)cc2)oc2ccccc12,4p-Hydroxyflavone,train,Parent-Parent Augmented
Midostaurin,COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,Midostaurin,COC1C(N(C)C(=O)c2ccccc2)CC2OC1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,DB06595,train,Parent-Parent Augmented
O-isopropyl acetaminophen,CC(=O)Nc1ccc(OC(C)C)cc1,O-isopropyl acetaminophen,CC(=O)Nc1ccc(OC(C)C)cc1,O-isopropyl acetaminophen,train,Parent-Parent Augmented
Rosiglitazone,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,Rosiglitazone,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,DB00412,train,Parent-Parent Augmented
N-hydroxy-aminophenylnorharman,ONc1ccc(-n2c3ccccc3c3ccncc32)cc1,N-hydroxy-aminophenylnorharman,ONc1ccc(-n2c3ccccc3c3ccncc32)cc1,N-hydroxy-aminophenylnorharman,train,Parent-Parent Augmented
Gypsogenin,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C=O)C5CCC43C)C2C1,Gypsogenin,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C=O)C5CCC43C)C2C1,Gypsogenin,train,Parent-Parent Augmented
"3,7-Dihydroxy-3p,4p-dimethoxyflavone",COc1ccc(-c2oc3cc(O)ccc3c(=O)c2O)cc1OC,"3,7-Dihydroxy-3p,4p-dimethoxyflavone",COc1ccc(-c2oc3cc(O)ccc3c(=O)c2O)cc1OC,"3,7-Dihydroxy-3p,4p-dimethoxyflavone",train,Parent-Parent Augmented
Ezetimibe,O=C1C(CCC(O)c2ccc(F)cc2)C(c2ccc(O)cc2)N1c1ccc(F)cc1,Ezetimibe,O=C1C(CCC(O)c2ccc(F)cc2)C(c2ccc(O)cc2)N1c1ccc(F)cc1,DB00973,train,Parent-Parent Augmented
6-OH-MXAA,Cc1c(CO)ccc2c(=O)c3cccc(CC(=O)O)c3oc12,6-OH-MXAA,Cc1c(CO)ccc2c(=O)c3cccc(CC(=O)O)c3oc12,6-OH-MXAA,train,Parent-Parent Augmented
guanabenz,N=C(N)NN=Cc1c(Cl)cccc1Cl,guanabenz,N=C(N)NN=Cc1c(Cl)cccc1Cl,guanabenz,train,Parent-Parent Augmented
MK-429,COc1ccc(C(CC(=O)O)N2CCN(CCCc3ccc4c(n3)NCCC4)C2=O)cn1,MK-429,COc1ccc(C(CC(=O)O)N2CCN(CCCc3ccc4c(n3)NCCC4)C2=O)cn1,MK-429,train,Parent-Parent Augmented
Labetalol,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,Labetalol,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,DB00598,train,Parent-Parent Augmented
terfenadine,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,terfenadine,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,terfenadine,train,Parent-Parent Augmented
onapristone,CN(C)c1ccc(C2CC3(C)C(CCC3(O)CCCO)C3CCC4=CC(=O)CCC4=C23)cc1,onapristone,CN(C)c1ccc(C2CC3(C)C(CCC3(O)CCCO)C3CCC4=CC(=O)CCC4=C23)cc1,onapristone,train,Parent-Parent Augmented
Hydroxychloroquine,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,Hydroxychloroquine,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,DB01611,train,Parent-Parent Augmented
Nalmefene,C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,Nalmefene,C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,DB06230,train,Parent-Parent Augmented
Telaprevir,CCCC(NC(=O)C1C2CCCC2CN1C(=O)C(NC(=O)C(NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,Telaprevir,CCCC(NC(=O)C1C2CCCC2CN1C(=O)C(NC(=O)C(NC(=O)c1cnccn1)C1CCCCC1)C(C)(C)C)C(=O)C(=O)NC1CC1,DB05521,train,Parent-Parent Augmented
M8 (Bioallethrin),CC(=CC1C(C(=O)OC2CC(=O)C(CC3CO3)=C2C)C1(C)C)C(=O)O,M8 (Bioallethrin),CC(=CC1C(C(=O)OC2CC(=O)C(CC3CO3)=C2C)C1(C)C)C(=O)O,DB13746,train,Parent-Parent Augmented
3'(S)-hydroxy-pravastatin,CC(O)C(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,3'(S)-hydroxy-pravastatin,CC(O)C(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,DB00175,train,Parent-Parent Augmented
Oxy-oliceridine,COc1ccsc1CNCCC1(c2ccccn2)CCOC2(CCC(O)C2)C1,Oxy-oliceridine,COc1ccsc1CNCCC1(c2ccccn2)CCOC2(CCC(O)C2)C1,DB14881,train,Parent-Parent Augmented
Resokaempferol,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)ccc12,Resokaempferol,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)ccc12,Resokaempferol,train,Parent-Parent Augmented
"2,4-dimethylaniline",Cc1ccc(N)c(C)c1,"2,4-dimethylaniline",Cc1ccc(N)c(C)c1,"2,4-dimethylaniline",train,Parent-Parent Augmented
Ponesimod,CCCN=C1SC(=Cc2ccc(OCC(O)CO)c(Cl)c2)C(=O)N1c1ccccc1C,Ponesimod,CCCN=C1SC(=Cc2ccc(OCC(O)CO)c(Cl)c2)C(=O)N1c1ccccc1C,DB12016,train,Parent-Parent Augmented
Netarsudil,Cc1ccc(C(=O)OCc2ccc(C(CN)C(=O)Nc3ccc4cnccc4c3)cc2)c(C)c1,Netarsudil,Cc1ccc(C(=O)OCc2ccc(C(CN)C(=O)Nc3ccc4cnccc4c3)cc2)c(C)c1,DB13931,train,Parent-Parent Augmented
Quercitrin,CC1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,Quercitrin,CC1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,Quercitrin,train,Parent-Parent Augmented
"5,7-Dihydroxy-3p,4p,5p-trimethoxyflavone",COc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc(OC)c1OC,"5,7-Dihydroxy-3p,4p,5p-trimethoxyflavone",COc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc(OC)c1OC,"5,7-Dihydroxy-3p,4p,5p-trimethoxyflavone",train,Parent-Parent Augmented
Hydralazine pyruvate hydrazone tricyclic dehydration product,Cc1nnc2c3ccccc3cnn2c1=O,Hydralazine pyruvate hydrazone tricyclic dehydration product,Cc1nnc2c3ccccc3cnn2c1=O,DB01275,train,Parent-Parent Augmented
1-PP,c1cnc(N2CCNCC2)nc1,1-PP,c1cnc(N2CCNCC2)nc1,DB12184,train,Parent-Parent Augmented
3-(4-carboxybenzylidene)camphor,CC12CCC(C(=Cc3ccc(C(=O)O)cc3)C1=O)C2(C)C,3-(4-carboxybenzylidene)camphor,CC12CCC(C(=Cc3ccc(C(=O)O)cc3)C1=O)C2(C)C,DB11219,train,Parent-Parent Augmented
9-O-demethylemetine,CCC1CN2CCC3C=C(OC)C(OC)=CC3(O)C2CC1CC1NCCc2cc(OC)c(OC)cc21,9-O-demethylemetine,CCC1CN2CCC3C=C(OC)C(OC)=CC3(O)C2CC1CC1NCCc2cc(OC)c(OC)cc21,DB13293,train,Parent-Parent Augmented
ortho-Hydroxyrosiglitazone,CN(CCOc1ccc(CC2SC(=O)N=C2O)cc1)c1ncccc1O,ortho-Hydroxyrosiglitazone,CN(CCOc1ccc(CC2SC(=O)N=C2O)cc1)c1ncccc1O,DB00412,train,Parent-Parent Augmented
"Dibenz[a,j]acridine",c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12,"Dibenz[a,j]acridine",c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12,"Dibenz[a,j]acridine",train,Parent-Parent Augmented
Acemetacin,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,Acemetacin,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,DB13783,train,Parent-Parent Augmented
warfarin-r,CC(=O)CC(c1ccccc1)c1c(O)oc2ccccc2c1=O,warfarin-r,CC(=O)CC(c1ccccc1)c1c(O)oc2ccccc2c1=O,warfarin-r,train,Parent-Parent Augmented
Pyributicarb,COc1cccc(N(C)C(=S)Oc2cccc(C(C)(C)C)c2)n1,Pyributicarb,COc1cccc(N(C)C(=S)Oc2cccc(C(C)(C)C)c2)n1,Pyributicarb,train,Parent-Parent Augmented
5-Hydroxymethyl tolterodine,CC(C)N(CCC(c1ccccc1)c1cc(CO)ccc1O)C(C)C,5-Hydroxymethyl tolterodine,CC(C)N(CCC(c1ccccc1)c1cc(CO)ccc1O)C(C)C,DB01036,train,Parent-Parent Augmented
Dexpanthenol,CC(C)(CO)C(O)C(=O)NCCCO,Dexpanthenol,CC(C)(CO)C(O)C(=O)NCCCO,DB09357,train,Parent-Parent Augmented
ziprasidone,OC1=Nc2cc(Cl)c(CCN3CCN(c4nsc5ccccc45)CC3)cc2C1,ziprasidone,OC1=Nc2cc(Cl)c(CCN3CCN(c4nsc5ccccc45)CC3)cc2C1,ziprasidone,train,Parent-Parent Augmented
4p-Hydroxychalcone,O=C(C=Cc1ccccc1)c1ccc(O)cc1,4p-Hydroxychalcone,O=C(C=Cc1ccccc1)c1ccc(O)cc1,4p-Hydroxychalcone,train,Parent-Parent Augmented
"(2R,3S)â€2â€(diphenylmethyl)â€Nâ€{[2â€methoxyâ€5â€(propâ€1â€enâ€2â€yl)phenyl]methyl}â€1â€azabicyclo[2.2.2]octanâ€3â€amine",C=C(C)c1ccc(OC)c(CNC2C3CCN(CC3)C2C(c2ccccc2)c2ccccc2)c1,"(2R,3S)â€2â€(diphenylmethyl)â€Nâ€{[2â€methoxyâ€5â€(propâ€1â€enâ€2â€yl)phenyl]methyl}â€1â€azabicyclo[2.2.2]octanâ€3â€amine",C=C(C)c1ccc(OC)c(CNC2C3CCN(CC3)C2C(c2ccccc2)c2ccccc2)c1,"(2R,3S)â€2â€(diphenylmethyl)â€Nâ€{[2â€methoxyâ€5â€(propâ€1â€enâ€2â€yl)phenyl]methyl}â€1â€azabicyclo[2.2.2]octanâ€3â€amine",train,Parent-Parent Augmented
Adenosine Diphosphate,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,Adenosine Diphosphate,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,DB00640,train,Parent-Parent Augmented
Ifosfamide,O=P1(NCCCl)OCCCN1CCCl,Ifosfamide,O=P1(NCCCl)OCCCN1CCCl,DB12902,train,Parent-Parent Augmented
oxociprofloxacin,O=C1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CCN1,oxociprofloxacin,O=C1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CCN1,DB00537,train,Parent-Parent Augmented
Dexmethylphenidate,COC(=O)C(c1ccccc1)C1CCCCN1,Dexmethylphenidate,COC(=O)C(c1ccccc1)C1CCCCN1,DB16629,train,Parent-Parent Augmented
aldoifosfamide,O=CCCOP(=O)(NCCCl)NCCCl,aldoifosfamide,O=CCCOP(=O)(NCCCl)NCCCl,DB12902,train,Parent-Parent Augmented
Trimebutine,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,Trimebutine,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,DB09089,train,Parent-Parent Augmented
7-Hydroxy-4p-methoxyflavone,COc1ccc(-c2cc(=O)c3ccc(O)cc3o2)cc1,7-Hydroxy-4p-methoxyflavone,COc1ccc(-c2cc(=O)c3ccc(O)cc3o2)cc1,7-Hydroxy-4p-methoxyflavone,train,Parent-Parent Augmented
Chlorpropamide,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,Chlorpropamide,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,DB00672,train,Parent-Parent Augmented
Pranidipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC=Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,Pranidipine,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC=Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,Pranidipine,train,Parent-Parent Augmented
L-775606,Fc1cccc(CCN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)c1,L-775606,Fc1cccc(CCN2CCN(CCCc3c[nH]c4ccc(-n5cnnc5)cc34)CC2)c1,L-775606,train,Parent-Parent Augmented
Propranolol,CC(C)NCC(O)COc1cccc2ccccc12,Propranolol,CC(C)NCC(O)COc1cccc2ccccc12,DB00571,train,Parent-Parent Augmented
Bexarotene,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,Bexarotene,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C,Bexarotene,train,Parent-Parent Augmented
Erythromycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,Erythromycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,DB00199,train,Parent-Parent Augmented
L-Acetylleucine,CC(=O)NC(CC(C)C)C(=O)O,L-Acetylleucine,CC(=O)NC(CC(C)C)C(=O)O,DB16956,train,Parent-Parent Augmented
"3,7-Dihydroxyfavone",O=c1c(O)c(-c2ccccc2)oc2cc(O)ccc12,"3,7-Dihydroxyfavone",O=c1c(O)c(-c2ccccc2)oc2cc(O)ccc12,"3,7-Dihydroxyfavone",train,Parent-Parent Augmented
"VCH-7,8-epoxide",C=CC1CCC2OC2C1,"VCH-7,8-epoxide",C=CC1CCC2OC2C1,4-VINYLCYCLOHEXENE,train,Parent-Parent Augmented
Benzonatate,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,Benzonatate,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,DB00868,train,Parent-Parent Augmented
2-phthalimidoglutaramic acid,NC(=O)CCC(C(=O)O)N1C(=O)c2ccccc2C1=O,2-phthalimidoglutaramic acid,NC(=O)CCC(C(=O)O)N1C(=O)c2ccccc2C1=O,DB01041,train,Parent-Parent Augmented
Apomorphine,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,Apomorphine,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,DB00714,train,Parent-Parent Augmented
4'-hydroxylumiracoxib (M23),Cc1ccc(Nc2c(F)cc(O)cc2Cl)c(CC(=O)O)c1,4'-hydroxylumiracoxib (M23),Cc1ccc(Nc2c(F)cc(O)cc2Cl)c(CC(=O)O)c1,DB01283,train,Parent-Parent Augmented
Morphine glucuronide,CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5,Morphine glucuronide,CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5,DB00318,train,Parent-Parent Augmented
Perindopril,CCCC(NC(C)C(=O)N1C(C(=O)O)CC2CCCCC21)C(=O)OCC,Perindopril,CCCC(NC(C)C(=O)N1C(C(=O)O)CC2CCCCC21)C(=O)OCC,DB00790,train,Parent-Parent Augmented
didemethylcitalopram,N#Cc1ccc2c(c1)COC2(CCCN)c1ccc(F)cc1,didemethylcitalopram,N#Cc1ccc2c(c1)COC2(CCCN)c1ccc(F)cc1,DB00215,train,Parent-Parent Augmented
Pheniramine,CN(C)CCC(c1ccccc1)c1ccccn1,Pheniramine,CN(C)CCC(c1ccccc1)c1ccccn1,DB01620,train,Parent-Parent Augmented
flucloxacillin,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,flucloxacillin,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,flucloxacillin,train,Parent-Parent Augmented
11-dehydrodexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(=O)CC2(C)C1(O)C(=O)CO,11-dehydrodexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(=O)CC2(C)C1(O)C(=O)CO,DB01234,train,Parent-Parent Augmented
Pitavastatin glucuronide,O=C(CC(O)CC(O)C=Cc1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1)OC1OC(C(=O)O)C(O)C(O)C1O,Pitavastatin glucuronide,O=C(CC(O)CC(O)C=Cc1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1)OC1OC(C(=O)O)C(O)C(O)C1O,DB08860,train,Parent-Parent Augmented
pefloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,pefloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,pefloxacin,train,Parent-Parent Augmented
Deacetyl diltiazem,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2O)cc1,Deacetyl diltiazem,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2O)cc1,DB00343,train,Parent-Parent Augmented
Ticlopidine,Clc1ccccc1CN1CCc2sccc2C1,Ticlopidine,Clc1ccccc1CN1CCc2sccc2C1,DB00208,train,Parent-Parent Augmented
Inositol tetranicotinate,O=C(OC1C(O)C(O)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C1OC(=O)c1cccnc1)c1cccnc1,Inositol tetranicotinate,O=C(OC1C(O)C(O)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C1OC(=O)c1cccnc1)c1cccnc1,DB08949,train,Parent-Parent Augmented
(r)-mda,CC(N)Cc1ccc2c(c1)OCO2,(r)-mda,CC(N)Cc1ccc2c(c1)OCO2,(r)-mda,train,Parent-Parent Augmented
Decitabine,Nc1ncn(C2CC(O)C(CO)O2)c(=O)n1,Decitabine,Nc1ncn(C2CC(O)C(CO)O2)c(=O)n1,DB01262,train,Parent-Parent Augmented
Iptacopan,CCOC1CCN(Cc2c(OC)cc(C)c3[nH]ccc23)C(c2ccc(C(=O)O)cc2)C1,Iptacopan,CCOC1CCN(Cc2c(OC)cc(C)c3[nH]ccc23)C(c2ccc(C(=O)O)cc2)C1,DB16200,train,Parent-Parent Augmented
domperidone,Oc1nc2ccccc2n1CCCN1CCC(n2c(O)nc3cc(Cl)ccc32)CC1,domperidone,Oc1nc2ccccc2n1CCCN1CCC(n2c(O)nc3cc(Cl)ccc32)CC1,domperidone,train,Parent-Parent Augmented
quinoline,c1ccc2ncccc2c1,quinoline,c1ccc2ncccc2c1,quinoline,train,Parent-Parent Augmented
Dronedarone,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,Dronedarone,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,DB04855,train,Parent-Parent Augmented
4'-Hydroxy-5-carboxylumiracoxib (M5),O=C(O)Cc1cc(C(=O)O)ccc1Nc1c(F)cc(O)cc1Cl,4'-Hydroxy-5-carboxylumiracoxib (M5),O=C(O)Cc1cc(C(=O)O)ccc1Nc1c(F)cc(O)cc1Cl,DB01283,train,Parent-Parent Augmented
17alpha-Ethinylestradiol,C#CC1(O)CCC2C3(C)CCc4cc(O)ccc4C3CCC21C,17alpha-Ethinylestradiol,C#CC1(O)CCC2C3(C)CCc4cc(O)ccc4C3CCC21C,17alpha-Ethinylestradiol,train,Parent-Parent Augmented
5-fluorodeoxyuridine (5-FUdR),O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,5-fluorodeoxyuridine (5-FUdR),O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,DB00322,train,Parent-Parent Augmented
"cis, trans-5'-Hydroxythalidomide",O=C1NC(=O)C(N2C(=O)c3ccccc3C2=O)CC1O,"cis, trans-5'-Hydroxythalidomide",O=C1NC(=O)C(N2C(=O)c3ccccc3C2=O)CC1O,DB01041,train,Parent-Parent Augmented
eletriptan,CN1CCCC1CC1CNc2ccc(CCS(=O)(=O)c3ccccc3)cc21,eletriptan,CN1CCCC1CC1CNc2ccc(CCS(=O)(=O)c3ccccc3)cc21,eletriptan,train,Parent-Parent Augmented
4-(Aminomethyl)-7-methoxycoumarin,COc1ccc2c(CN)cc(=O)oc2c1,4-(Aminomethyl)-7-methoxycoumarin,COc1ccc2c(CN)cc(=O)oc2c1,4-(Aminomethyl)-7-methoxycoumarin,train,Parent-Parent Augmented
gamma-Hydroxybutyric acid,O=C(O)CCCO,gamma-Hydroxybutyric acid,O=C(O)CCCO,DB01955,train,Parent-Parent Augmented
galactose-1-phosphate,O=P(O)(O)OC1OC(O)C(O)C(O)C1O,galactose-1-phosphate,O=P(O)(O)OC1OC(O)C(O)C(O)C1O,DB09301,train,Parent-Parent Augmented
M33 Umeclidinium,Oc1ccc(COCC[N+]23CCC(C(O)(c4ccccc4)c4ccccc4)(CC2)CC3)cc1,M33 Umeclidinium,Oc1ccc(COCC[N+]23CCC(C(O)(c4ccccc4)c4ccccc4)(CC2)CC3)cc1,DB09076,train,Parent-Parent Augmented
