parent_name,parent_smiles,child_name,child_smiles,origin
cyclosporine_a,C/C=C/C[C@@H](C)[C@@H](O)[C@@H]1C(O)=N[C@H](CC)C(=O)N(C)CC(=O)N(C)[C@H](CC(C)C)C(O)=N[C@@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(O)=N[C@H](C)C(O)=N[C@@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,,C/C=C/C[C@@H](C)[C@@H](O)C1C(O)=N[C@H](CC)C(=O)N(C)CC(=O)N(C)[C@H](CC(C)C)C(O)=N[C@@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(O)=N[C@H](C)C(O)=N[C@@H](C)C(=O)N(C)[C@@H](CC(C)(C)O)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,cyclosporine_a
dacarbazine,CN(C)N/N=C1\N=CN=C1C(N)=O,MTIC,CNN/N=C1\N=CN=C1C(N)=O,dacarbazine
dapsone,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,N-Hydroxydapsone,Nc1ccc(S(=O)(=O)c2ccc(NO)cc2)cc1,dapsone
debrisoquine,N=C(N)N1CCc2ccccc2C1,4-Hydroxydebrisoquine,N=C(N)N1Cc2ccccc2C(O)C1,debrisoquine
decursinol angelate,C/C=C(/C)C(=O)O[C@H]1Cc2cc3ccc(=O)oc3cc2OC1(C)C,,CC1OC1(C)C(=O)OC1Cc2cc3ccc(=O)oc3cc2OC1(C)C,decursinol angelate
dehydroepiandrosterone,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,,CC12CCC3C(CC=C4CC(O)CCC43C)C1CC(O)C2=O,dehydroepiandrosterone
dehydroepiandrosterone,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,,CC12CCC3C(C(O)C=C4CC(O)CCC43C)C1CCC2=O,dehydroepiandrosterone
delavirdine,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,,CC(C)Nc1ccc(O)nc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,delavirdine
delavirdine,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,,CS(=O)(=O)Nc1ccc2[nH]c(C(=O)N3CCN(c4ncccc4N)CC3)cc2c1,delavirdine
deoxypodophyllotoxin,COc1cc([C@@H]2c3cc4c(cc3C[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC,,COc1cc(C2c3cc(O)c(O)cc3CC3COC(=O)C32)cc(OC)c1OC,deoxypodophyllotoxin
deoxypodophyllotoxin,COc1cc([C@@H]2c3cc4c(cc3C[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC,,COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,deoxypodophyllotoxin
deoxypodophyllotoxin,COc1cc([C@@H]2c3cc4c(cc3C[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC,,COc1cc(C2c3cc4c(cc3CC3COC(=O)C32)OCO4)cc(OC)c1O,deoxypodophyllotoxin
deramciclane,CN(C)CCO[C@]1(c2ccccc2)C[C@H]2CC[C@]1(C)C2(C)C,,CNCCOC1(c2ccccc2)CC2CCC1(C)C2(C)C,deramciclane
desmethylcitalopram,CNCCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,"N,N-Didesmethylcitalopram",N#Cc1ccc2c(c1)COC2(CCCN)c1ccc(F)cc1,desmethylcitalopram
desogestrel,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,3-alpha-OH-desogestrel,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C[C@H](O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,desogestrel
desogestrel,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,3-beta-OH-desogestrel,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C[C@@H](O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,desogestrel
dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,6-alpha-OH DEXAMETHASONE,C[C@@H]1C[C@H]2[C@@H]3C[C@H](O)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,dexamethasone
dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,6-beta-OH DEXAMETHASONE,C[C@@H]1C[C@H]2[C@@H]3CC(O)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,dexamethasone
dexfenfluramine,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1,nordexfenfluramine,CC(N)Cc1cccc(C(F)(F)F)c1,dexfenfluramine
dexloxiglumide,CCCCCN(CCCOC)C(=O)[C@@H](CCC(=O)O)N=C(O)c1ccc(Cl)c(Cl)c1,,CCCCCN(CCCO)C(=O)C(CCC(=O)O)N=C(O)c1ccc(Cl)c(Cl)c1,dexloxiglumide
dexpropranolol (propranolol),CC(C)NC[C@@H](O)COc1cccc2ccccc12,,NCC(O)COc1cccc2ccccc12,dexpropranolol (propranolol)
dexpropranolol (propranolol),CC(C)NC[C@@H](O)COc1cccc2ccccc12,,CC(C)NCC(O)COc1cccc2c(O)cccc12,dexpropranolol (propranolol)
dexpropranolol (propranolol),CC(C)NC[C@@H](O)COc1cccc2ccccc12,,CC(C)NCC(O)COc1ccc(O)c2ccccc12,dexpropranolol (propranolol)
dextromethorphan,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,Dextrorphan,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1Cc1ccc(O)cc13,dextromethorphan
dextromethorphan,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3,3-methoxymorphinan,COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)NCC3,dextromethorphan
dextropropoxyphene,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,Nordextropropoxyphene,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CNC,dextropropoxyphene
dexverapamil,COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,"dexverapamil, N-demethyl",COc1ccc(CCNCCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,dexverapamil
dexverapamil,COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,"(2R)-5-{[2-(3,4-dimethoxyphenyl)ethyl](methyl)amino}-2-(4-hydroxy-3-methoxyphenyl)-2-(propan-2-yl)pentanenitrile",COc1cc([C@@](C#N)(CCCN(C)CCc2ccc(OC)c(OC)c2)C(C)C)ccc1O,dexverapamil
dexverapamil,COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,"2-(3,4-dimethoxyphenyl)acetaldehyde",COc1ccc(CC=O)cc1OC,dexverapamil
dexverapamil,COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,(R)-D-617,CNCCC[C@](C#N)(c1ccc(OC)c(OC)c1)C(C)C,dexverapamil
diallyl disulfide,C=CCSSCC=C,DADSO,C=CCSS(=O)CC=C,diallyl disulfide
diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,Nordiazepam,OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1,diazepam
diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,Temazepam,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,diazepam
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,Pyrimidinol,Cc1cc(O)nc(C(C)C)n1,Diazinon
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,Diethyl thiophosphate,CCOP(O)(=S)OCC,Diazinon
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,Diazoxon,CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,Diazinon
"dibenzo[a,l]pyrene",c1ccc2c(c1)cc1ccc3cccc4c5ccccc5c2c1c34,,c1ccc2c(c1)c1cccc3ccc4cc5c(ccc6oc65)c2c4c31,"dibenzo[a,l]pyrene"
dibenzylfluorescein,O=C(OCc1ccccc1)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OCc3ccccc3)ccc12,Fluorescein benzyl ester,O=C(OCc1ccccc1)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(O)ccc12,dibenzylfluorescein
dibenzylfluorescein,O=C(OCc1ccccc1)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OCc3ccccc3)ccc12,2-[6-(benzyloxy)-3-oxo-3H-xanthen-9-yl]benzoic acid,O=C(O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OCc3ccccc3)ccc12,dibenzylfluorescein
diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,4'-OH-diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cc(O)cc1Cl,diclofenac
diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,5-OH-diclofenac,O=C(O)Cc1cc(O)ccc1Nc1c(Cl)cccc1Cl,diclofenac
digitoxin,C[C@H]1O[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,Digoxigenin Bisdigitoxoside,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4C[C@@H](O)[C@]4(C)[C@@H](C6=CC(=O)OC6)CC[C@]54O)C3)O[C@@H]2C)C[C@H](O)[C@@H]1O,digitoxin
dihydrocodeine,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341,,CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3C1C5,dihydrocodeine
dihydrocodeine,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341,,COc1ccc2c3c1OC1C(O)CCC4C(C2)NCCC341,dihydrocodeine
diltiazem,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,N-Demethyldiltiazem,CNCCN1C(=O)[C@H](OC(C)=O)[C@H](c2ccc(OC)cc2)Sc2ccccc21,diltiazem
diltiazem,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,O-Demethyldiltiazem,CC(=O)O[C@H]1C(=O)N(CCN(C)C)c2ccccc2S[C@H]1c1ccc(O)cc1,diltiazem
diphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1,N-Desmethyldiphenhydramine,CNCCOC(c1ccccc1)c1ccccc1,diphenhydramine
disopiramide,CC(C)N(CC[C@](C(=N)O)(c1ccccc1)c1ccccn1)C(C)C,mono-N-desalkyldisopyramide,CC(C)NCCC(C(=N)O)(c1ccccc1)c1ccccn1,disopiramide
docetaxel,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](N=C(O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,Hydroxy-Docetaxel,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](N=C(O)OC(C)(C)CO)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,docetaxel
domitroban,O=C(O)CCC/C=C\C[C@H]1[C@@H]2CC[C@@H](C2)[C@@H]1NS(=O)(=O)c1ccccc1,,O=C(O)CCC/C=C\CC1C2CC(CC2O)C1NS(=O)(=O)c1ccccc1,domitroban
domitroban,O=C(O)CCC/C=C\C[C@H]1[C@@H]2CC[C@@H](C2)[C@@H]1NS(=O)(=O)c1ccccc1,,O=C(O)CCC/C=C\CC1C2CC(O)C(C2)C1NS(=O)(=O)c1ccccc1,domitroban
domperidone,Oc1nc2ccccc2n1CCCN1CCC(n2c(O)nc3cc(Cl)ccc32)CC1,,Oc1ccc2c(c1)nc(O)n2CCCN1CCC(n2c(O)nc3cc(Cl)ccc32)CC1,domperidone
domperidone,Oc1nc2ccccc2n1CCCN1CCC(n2c(O)nc3cc(Cl)ccc32)CC1,,Oc1nc2cc(Cl)ccc2n1C1CCNCC1,domperidone
domperidone,Oc1nc2ccccc2n1CCCN1CCC(n2c(O)nc3cc(Cl)ccc32)CC1,,CCCn1c(O)nc2ccccc21,domperidone
doxepin,CN(C)CC/C=C1/c2ccccc2COc2ccccc21,nordoxepin,CNCC/C=C1/c2ccccc2COc2ccccc21,doxepin
doxepin,CN(C)CC/C=C1/c2ccccc2COc2ccccc21,2-OH-doxepin,CN(C)CC/C=C1/c2cc(O)ccc2COc2ccccc21,doxepin
ebastine,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,Deslakylebastine,CC(C)(C)c1ccc(C(=O)CCC=O)cc1,ebastine
ebastine,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,4-(4-tert-butylphenyl)-4-oxobutanal,c1ccc(C(OC2CCNCC2)c2ccccc2)cc1,ebastine
ecabapide,CN=C(O)c1cccc(NCC(O)=NCCc2ccc(OC)c(OC)c2)c1,6-hydroxy-ecabapide,CN=C(O)c1cc(NCC(O)=NCCc2ccc(OC)c(OC)c2)ccc1O,ecabapide
ecabapide,CN=C(O)c1cccc(NCC(O)=NCCc2ccc(OC)c(OC)c2)c1,5-amino-2-hydroxy-N-methylbenzamide,CN=C(O)c1cc(N)ccc1O,ecabapide
ecabapide,CN=C(O)c1cccc(NCC(O)=NCCc2ccc(OC)c(OC)c2)c1,"N-[2-(3,4-dimethoxyphenyl)ethyl]-2-oxoacetamide",COc1ccc(CCNC(=O)C=O)cc1OC,ecabapide
efavirenz,OC1=Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,8-OH-efavirenz,OC1=Nc2c(O)cc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,efavirenz
eicosapentaenoic acid,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,,CC/C=C\C/C=C\C/C=C\CCCC/C=C\CCCC(=O)O,eicosapentaenoic acid
eletriptan,CN1CCC[C@@H]1C[C@@H]1CNc2ccc(CCS(=O)(=O)c3ccccc3)cc21,N-Desmethyleletriptan,O=S(=O)(CCc1ccc2c(c1)[C@H](C[C@H]1CCCN1)CN2)c1ccccc1,eletriptan
eplerenone,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,6beta-hydroxyeplerenone,COC(=O)[C@@H]1C(O)C2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,eplerenone
eplerenone,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,21-hydroxyeplerenone,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CC(O)C(=O)O4)[C@H]13,eplerenone
erythromycin,CC[C@H]1OC[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C[C@H](C)[C@H](O)[C@]1(C)O,N-Desmethylerythromycin,CC[C@H]1OC[C@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](NC)[C@H]2O)[C@](C)(O)C[C@@H](C)C[C@@H](C)[C@@H](O)[C@]1(C)O,erythromycin
esomeprazole,COc1ccc2nc([S@@](=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,5-Hydroxyomeprazole ,COc1ccc2nc([S@@](=O)Cc3ncc(CO)c(OC)c3C)[nH]c2c1,esomeprazole
esomeprazole,COc1ccc2nc([S@@](=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,Omeprazole sulfone ,COc1ccc2nc(S(=O)(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,esomeprazole
esomeprazole,COc1ccc2nc([S@@](=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,5-O-Desmethylomeprazole ,COc1c(C)cnc(C[S@](=O)c2nc3ccc(O)cc3[nH]2)c1C,esomeprazole
estazolam,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,4-hydroxyestazolam,OC1N=C(c2ccccc2)c2cc(Cl)ccc2-n2cnnc21,estazolam
estradiol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,2-Hydroxyestradiol,C[C@]12CC[C@@H]3c4cc(O)c(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,estradiol
estradiol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,4-Hydroxyestradiol ,C[C@]12CC[C@@H]3c4ccc(O)c(O)c4CC[C@H]3[C@@H]1CC[C@@H]2O,estradiol
estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,2-OH-estrone,C[C@]12CC[C@@H]3c4cc(O)c(O)cc4CC[C@H]3[C@@H]1CCC2=O,estrone
estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,4-OH-estrone,C[C@]12CC[C@@H]3c4ccc(O)c(O)c4CC[C@H]3[C@@H]1CCC2=O,estrone
estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,6alpha-OH-estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4[C@@H](O)C[C@H]3[C@@H]1CCC2=O,estrone
estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,6beta-estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4[C@H](O)C[C@H]3[C@@H]1CCC2=O,estrone
estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,7alpha-OH-estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](O)C3[C@@H]1CCC2=O,estrone
estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,15alpha-OH-estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CCC3[C@@H]1[C@@H](O)CC2=O,estrone
estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,16alpha-OH-estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CCC3[C@@H]1C[C@@H](O)C2=O,estrone
estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,16beta-OH-estrone,C[C@]12CC[C@@H]3c4ccc(O)cc4CCC3[C@@H]1C[C@H](O)C2=O,estrone
eszopiclone,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,N-desmethyl-zopiclone,O=C(OC1c2nccnc2C(=O)N1c1ccc(Cl)cn1)N1CCNCC1,eszopiclone
eszopiclone,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,N-oxide-zopiclone,C[N+]1([O-])CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,eszopiclone
ethanol,CCO,Acetaldehyde,CC=O,ethanol
ethiprole,CCS(=O)c1c(C#N)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N,Ethiprole Sulfone,CCS(=O)(=O)c1c(C#N)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N,ethiprole
ethylmethylnitrosamine,CCN(C)N=O,,CCN=NO,ethylmethylnitrosamine
ethylmethylnitrosamine,CCN(C)N=O,,CN=NO,ethylmethylnitrosamine
ethylmorphine,CCOc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,Norethylmorphine,CCOc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341,ethylmorphine
ethylmorphine,CCOc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,Morphine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,ethylmorphine
etizolam,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,,CCc1cc2c(s1)-n1c(C)nnc1C(O)N=C2c1ccccc1Cl,etizolam
etizolam,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,,Cc1nnc2n1-c1sc(C(C)O)cc1C(c1ccccc1Cl)=NC2,etizolam
etoperidone,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,,CCCn1nc(CC)n(CC)c1=O,etoperidone
etoperidone,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,,Clc1cccc(N2CCNCC2)c1,etoperidone
etoperidone,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,,CCc1nn(CCCN2CCN(c3ccc(O)c(Cl)c3)CC2)c(=O)n1CC,etoperidone
etoperidone,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,,CCn1c(C(C)O)nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c1=O,etoperidone
etoposide,COc1cc([C@@H]2c3cc4c(cc3[C@H](O[C@H]3O[C@H]5CO[C@@H](C)O[C@@H]5[C@@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,Etoposide Catechol,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(O)c1O,etoposide
etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,6-Hydroxymethyletoricoxib,CS(=O)(=O)c1ccc(-c2cc(Cl)cnc2-c2ccc(CO)nc2)cc1,etoricoxib
etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,Etoricoxib 1'-N'-oxide,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)c[n+]1[O-],etoricoxib
eugenol,C=CCc1ccc(O)c(OC)c1,Hydroxychavicol,C=CCc1ccc(O)c(O)c1,eugenol
eupatilin,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1OC,Jaceosidine,COc1cc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)ccc1O,eupatilin
everolimus,CO[C@@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(/C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C\C=C\C=C\1C,,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(/C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,everolimus
everolimus,CO[C@@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(/C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C\C=C\C=C\1C,,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](O)C2)CC(=O)[C@H](C)/C=C(/C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,everolimus
ezlopitant,COc1ccc(C(C)C)cc1CN[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1,,C=C(C)c1ccc(OC)c(CNC2C3CCN(CC3)C2C(c2ccccc2)c2ccccc2)c1,ezlopitant
ezlopitant,COc1ccc(C(C)C)cc1CN[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1,,COc1ccc(C(C)(C)O)cc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,ezlopitant
fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,Norfentanyl,CCC(=O)N(c1ccccc1)C1CCNCC1,fentanyl
fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,Phenylacetaldehyde,O=CCc1ccccc1,fentanyl
finasteride,CC(C)(C)N=C(O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4N=C(O)C=C[C@]4(C)[C@H]3CC[C@]12C,,CC(C)(CO)N=C(O)C1CCC2C3CCC4N=C(O)C=CC4(C)C3CCC12C,finasteride
fk_506,C=CC[C@@H]1/C=C(/C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@H](O)CC1=O)[C@H](C)C[C@@H]2OC,13-O-Desmethyltacrolimus,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2O,fk_506
