parent_name,parent_smiles,child_name,child_smiles,origin,tanimoto
cotinine,CN1C(=O)CCC1c1cccnc1,trans-3'-hydroxycotinine,CN1C(=O)C(O)CC1c1cccnc1,cotinine,0.5853658536585366
cotinine,CN1C(=O)CCC1c1cccnc1,Norcotinine,OC1=NC(c2cccnc2)CC1,cotinine,0.4186046511627907
cotinine,CN1C(=O)CCC1c1cccnc1,5'-hydroxycotinine,CN1C(=O)CCC1(O)c1cccnc1,cotinine,0.40425531914893614
coumarin,O=c1ccc2ccccc2o1,7-Hydroxycoumarin,O=c1ccc2ccc(O)cc2o1,coumarin,0.5357142857142857
coumarin,O=c1ccc2ccccc2o1,3-Hydroxycoumarin,O=c1oc2ccccc2cc1O,coumarin,0.4666666666666667
coumarin,O=c1ccc2ccccc2o1,"Coumarin 3,4-epoxide",O=C1Oc2ccccc2C2OC12,coumarin,0.23529411764705882
cp_122_721,COc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1,,Oc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1,cp_122_721,0.75
cp_122_721,COc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1,,COc1ccc(OC(F)(F)F)cc1CN,cp_122_721,0.45454545454545453
cp_125_611,Oc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1,"CP-919,230",NCc1cc(OC(F)(F)F)ccc1O,cp_125_611,0.4339622641509434
cp_125_611,Oc1ccc(OC(F)(F)F)cc1CNC1CCCNC1c1ccccc1,quinone,O=C1CC=C(O)C=C1CNC1CCCNC1c1ccccc1,cp_125_611,0.4838709677419355
cp-199331,COc1ccc(NS(=O)(=O)C(F)(F)F)cc1CC1COc2ccc(OCc3nc4cc(F)c(F)cc4s3)cc2C1O,,O=S(=O)(Nc1ccc(O)c(CC2COc3ccc(OCc4nc5cc(F)c(F)cc5s4)cc3C2O)c1)C(F)(F)F,cp-199331,0.8354430379746836
curcumin,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,O-demethyl curcumin,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(O)c2)ccc1O,curcumin,0.9117647058823529
cyclobenzaprine,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,N-Desmethylcyclobenzaprine,CNCCC=C1c2ccccc2C=Cc2ccccc21,cyclobenzaprine,0.6
"cyclohexene, 4-ethenyl-, (s)-",C=CC1CC=CCC1,,C1=CCC(C2CO2)CC1,"cyclohexene, 4-ethenyl-, (s)-",0.3448275862068966
"cyclohexene, 4-ethenyl-, (s)-",C=CC1CC=CCC1,,C=CC1CCC2OC2C1,"cyclohexene, 4-ethenyl-, (s)-",0.3
dacarbazine,CN(C)NN=C1N=CN=C1C(N)=O,MTIC,CNNN=C1N=CN=C1C(N)=O,dacarbazine,0.6388888888888888
dapsone,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,N-Hydroxydapsone,Nc1ccc(S(=O)(=O)c2ccc(NO)cc2)cc1,dapsone,0.6666666666666666
debrisoquine,N=C(N)N1CCc2ccccc2C1,4-Hydroxydebrisoquine,N=C(N)N1Cc2ccccc2C(O)C1,debrisoquine,0.5135135135135135
decursinol angelate,CC=C(C)C(=O)OC1Cc2cc3ccc(=O)oc3cc2OC1(C)C,,CC1OC1(C)C(=O)OC1Cc2cc3ccc(=O)oc3cc2OC1(C)C,decursinol angelate,0.7017543859649122
dehydroepiandrosterone,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,,CC12CCC3C(CC=C4CC(O)CCC43C)C1CC(O)C2=O,dehydroepiandrosterone,0.6888888888888889
dehydroepiandrosterone,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,,CC12CCC3C(C(O)C=C4CC(O)CCC43C)C1CCC2=O,dehydroepiandrosterone,0.6444444444444445
delavirdine,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,,CC(C)Nc1ccc(O)nc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,delavirdine,0.8
delavirdine,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,,CS(=O)(=O)Nc1ccc2[nH]c(C(=O)N3CCN(c4ncccc4N)CC3)cc2c1,delavirdine,0.7538461538461538
deoxypodophyllotoxin,COc1cc(C2c3cc4c(cc3CC3COC(=O)C32)OCO4)cc(OC)c1OC,,COc1cc(C2c3cc(O)c(O)cc3CC3COC(=O)C32)cc(OC)c1OC,deoxypodophyllotoxin,0.75
deoxypodophyllotoxin,COc1cc(C2c3cc4c(cc3CC3COC(=O)C32)OCO4)cc(OC)c1OC,,COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,deoxypodophyllotoxin,0.6428571428571429
deoxypodophyllotoxin,COc1cc(C2c3cc4c(cc3CC3COC(=O)C32)OCO4)cc(OC)c1OC,,COc1cc(C2c3cc4c(cc3CC3COC(=O)C32)OCO4)cc(OC)c1O,deoxypodophyllotoxin,0.8235294117647058
deramciclane,CN(C)CCOC1(c2ccccc2)CC2CCC1(C)C2(C)C,,CNCCOC1(c2ccccc2)CC2CCC1(C)C2(C)C,deramciclane,0.7021276595744681
desmethylcitalopram,CNCCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,"N,N-Didesmethylcitalopram",N#Cc1ccc2c(c1)COC2(CCCN)c1ccc(F)cc1,desmethylcitalopram,0.75
desogestrel,C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,3-alpha-OH-desogestrel,C#CC1(O)CCC2C3CCC4=CC(O)CCC4C3C(=C)CC21CC,desogestrel,0.7288135593220338
dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,6-alpha-OH DEXAMETHASONE,CC1CC2C3CC(O)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,dexamethasone,0.7258064516129032
dexfenfluramine,CCNC(C)Cc1cccc(C(F)(F)F)c1,nordexfenfluramine,CC(N)Cc1cccc(C(F)(F)F)c1,dexfenfluramine,0.6388888888888888
dexloxiglumide,CCCCCN(CCCOC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,,CCCCCN(CCCO)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,dexloxiglumide,0.8245614035087719
dexpropranolol (propranolol),CC(C)NCC(O)COc1cccc2ccccc12,,NCC(O)COc1cccc2ccccc12,dexpropranolol (propranolol),0.6153846153846154
dexpropranolol (propranolol),CC(C)NCC(O)COc1cccc2ccccc12,,CC(C)NCC(O)COc1cccc2c(O)cccc12,dexpropranolol (propranolol),0.7692307692307693
dexpropranolol (propranolol),CC(C)NCC(O)COc1cccc2ccccc12,,CC(C)NCC(O)COc1ccc(O)c2ccccc12,dexpropranolol (propranolol),0.7073170731707317
dextromethorphan,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextrorphan,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,dextromethorphan,0.7083333333333334
dextromethorphan,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,3-methoxymorphinan,COc1ccc2c(c1)C13CCCCC1C(C2)NCC3,dextromethorphan,0.6078431372549019
dextropropoxyphene,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C,Nordextropropoxyphene,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CNC,dextropropoxyphene,0.7021276595744681
dexverapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,"dexverapamil, N-demethyl",COc1ccc(CCNCCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,dexverapamil,0.6909090909090909
dexverapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,"(2R)-5-{[2-(3,4-dimethoxyphenyl)ethyl](methyl)amino}-2-(4-hydroxy-3-methoxyphenyl)-2-(propan-2-yl)pentanenitrile",COc1cc(C(C#N)(CCCN(C)CCc2ccc(OC)c(OC)c2)C(C)C)ccc1O,dexverapamil,0.8867924528301887
dexverapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,"2-(3,4-dimethoxyphenyl)acetaldehyde",COc1ccc(CC=O)cc1OC,dexverapamil,0.3148148148148148
dexverapamil,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,(R)-D-617,CNCCCC(C#N)(c1ccc(OC)c(OC)c1)C(C)C,dexverapamil,0.6111111111111112
diallyl disulfide,C=CCSSCC=C,DADSO,C=CCS[S+]([O-])CC=C,diallyl disulfide,0.36363636363636365
diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,Nordiazepam,OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1,diazepam,0.5
diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,Temazepam,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,diazepam,0.5918367346938775
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,Pyrimidinol,Cc1cc(O)nc(C(C)C)n1,Diazinon,0.4
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,Diethyl thiophosphate,CCOP(O)(=S)OCC,Diazinon,0.2564102564102564
Diazinon,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,Diazoxon,CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,Diazinon,0.7
"dibenzo[a,l]pyrene",c1ccc2c(c1)cc1ccc3cccc4c5ccccc5c2c1c34,,c1ccc2c(c1)c1cccc3ccc4cc5c(ccc6oc65)c2c4c31,"dibenzo[a,l]pyrene",0.5882352941176471
dibenzylfluorescein,O=C(OCc1ccccc1)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OCc3ccccc3)ccc12,Fluorescein benzyl ester,O=C(OCc1ccccc1)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(O)ccc12,dibenzylfluorescein,0.8070175438596491
dibenzylfluorescein,O=C(OCc1ccccc1)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OCc3ccccc3)ccc12,2-[6-(benzyloxy)-3-oxo-3H-xanthen-9-yl]benzoic acid,O=C(O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(OCc3ccccc3)ccc12,dibenzylfluorescein,0.8392857142857143
diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,4'-OH-diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cc(O)cc1Cl,diclofenac,0.7428571428571429
diclofenac,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,5-OH-diclofenac,O=C(O)Cc1cc(O)ccc1Nc1c(Cl)cccc1Cl,diclofenac,0.6944444444444444
dihydrocodeine,COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,,CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3C1C5,dihydrocodeine,0.7843137254901961
dihydrocodeine,COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,,COc1ccc2c3c1OC1C(O)CCC4C(C2)NCCC341,dihydrocodeine,0.6428571428571429
diltiazem,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,N-Demethyldiltiazem,CNCCN1C(=O)C(OC(C)=O)C(c2ccc(OC)cc2)Sc2ccccc21,diltiazem,0.7796610169491526
diltiazem,COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,O-Demethyldiltiazem,CC(=O)OC1C(=O)N(CCN(C)C)c2ccccc2SC1c1ccc(O)cc1,diltiazem,0.8245614035087719
diphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1,N-Desmethyldiphenhydramine,CNCCOC(c1ccccc1)c1ccccc1,diphenhydramine,0.5625
disopiramide,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,mono-N-desalkyldisopyramide,CC(C)NCCC(C(N)=O)(c1ccccc1)c1ccccn1,disopiramide,0.673469387755102
domitroban,O=C(O)CCCC=CCC1C2CCC(C2)C1NS(=O)(=O)c1ccccc1,,O=C(O)CCCC=CCC1C2CC(CC2O)C1NS(=O)(=O)c1ccccc1,domitroban,0.7735849056603774
domitroban,O=C(O)CCCC=CCC1C2CCC(C2)C1NS(=O)(=O)c1ccccc1,,O=C(O)CCCC=CCC1C2CC(O)C(C2)C1NS(=O)(=O)c1ccccc1,domitroban,0.7547169811320755
domperidone,Oc1nc2ccccc2n1CCCN1CCC(n2c(O)nc3cc(Cl)ccc32)CC1,,Oc1ccc2c(c1)nc(O)n2CCCN1CCC(n2c(O)nc3cc(Cl)ccc32)CC1,domperidone,0.8653846153846154
domperidone,Oc1nc2ccccc2n1CCCN1CCC(n2c(O)nc3cc(Cl)ccc32)CC1,,Oc1nc2cc(Cl)ccc2n1C1CCNCC1,domperidone,0.5454545454545454
domperidone,Oc1nc2ccccc2n1CCCN1CCC(n2c(O)nc3cc(Cl)ccc32)CC1,,CCCn1c(O)nc2ccccc21,domperidone,0.42592592592592593
doxepin,CN(C)CCC=C1c2ccccc2COc2ccccc21,nordoxepin,CNCCC=C1c2ccccc2COc2ccccc21,doxepin,0.6829268292682927
doxepin,CN(C)CCC=C1c2ccccc2COc2ccccc21,2-OH-doxepin,CN(C)CCC=C1c2cc(O)ccc2COc2ccccc21,doxepin,0.7674418604651163
ebastine,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,Deslakylebastine,CC(C)(C)c1ccc(C(=O)CCC=O)cc1,ebastine,0.36363636363636365
ebastine,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,4-(4-tert-butylphenyl)-4-oxobutanal,c1ccc(C(OC2CCNCC2)c2ccccc2)cc1,ebastine,0.37037037037037035
ecabapide,CNC(=O)c1cccc(NCC(=O)NCCc2ccc(OC)c(OC)c2)c1,6-hydroxy-ecabapide,CNC(=O)c1cc(NCC(=O)NCCc2ccc(OC)c(OC)c2)ccc1O,ecabapide,0.7017543859649122
ecabapide,CNC(=O)c1cccc(NCC(=O)NCCc2ccc(OC)c(OC)c2)c1,5-amino-2-hydroxy-N-methylbenzamide,CNC(=O)c1cc(N)ccc1O,ecabapide,0.21311475409836064
ecabapide,CNC(=O)c1cccc(NCC(=O)NCCc2ccc(OC)c(OC)c2)c1,"N-[2-(3,4-dimethoxyphenyl)ethyl]-2-oxoacetamide",COc1ccc(CCNC(=O)C=O)cc1OC,ecabapide,0.5185185185185185
efavirenz,OC1=Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1,8-OH-efavirenz,OC1=Nc2c(O)cc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1,efavirenz,0.6923076923076923
eicosapentaenoic acid,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,,CCC=CCC=CCC=CCCCCC=CCCCC(=O)O,eicosapentaenoic acid,0.96
eletriptan,CN1CCCC1CC1CNc2ccc(CCS(=O)(=O)c3ccccc3)cc21,N-Desmethyleletriptan,O=S(=O)(CCc1ccc2c(c1)C(CC1CCCN1)CN2)c1ccccc1,eletriptan,0.6612903225806451
eplerenone,COC(=O)C1CC2=CC(=O)CCC2(C)C23OC2CC2(C)C(CCC24CCC(=O)O4)C13,6beta-hydroxyeplerenone,COC(=O)C1C(O)C2=CC(=O)CCC2(C)C23OC2CC2(C)C(CCC24CCC(=O)O4)C13,eplerenone,0.6956521739130435
eplerenone,COC(=O)C1CC2=CC(=O)CCC2(C)C23OC2CC2(C)C(CCC24CCC(=O)O4)C13,21-hydroxyeplerenone,COC(=O)C1CC2=CC(=O)CCC2(C)C23OC2CC2(C)C(CCC24CC(O)C(=O)O4)C13,eplerenone,0.7878787878787878
erythromycin,CCC1OCC(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CC(C)C(O)C1(C)O,N-Desmethylerythromycin,CCC1OCC(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(NC)C2O)C(C)(O)CC(C)CC(C)C(O)C1(C)O,erythromycin,0.7974683544303798
esomeprazole,COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3C)[nH]c2c1,5-Hydroxyomeprazole ,COc1ccc2nc([S+]([O-])Cc3ncc(CO)c(OC)c3C)[nH]c2c1,esomeprazole,0.7857142857142857
esomeprazole,COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3C)[nH]c2c1,Omeprazole sulfone ,COc1ccc2nc(S(=O)(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,esomeprazole,0.6
esomeprazole,COc1ccc2nc([S+]([O-])Cc3ncc(C)c(OC)c3C)[nH]c2c1,5-O-Desmethylomeprazole ,COc1c(C)cnc(C[S+]([O-])c2nc3ccc(O)cc3[nH]2)c1C,esomeprazole,0.7962962962962963
estazolam,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,4-hydroxyestazolam,OC1N=C(c2ccccc2)c2cc(Cl)ccc2-n2cnnc21,estazolam,0.5769230769230769
estradiol,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,2-Hydroxyestradiol,CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2O,estradiol,0.75
estradiol,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,4-Hydroxyestradiol ,CC12CCC3c4ccc(O)c(O)c4CCC3C1CCC2O,estradiol,0.6595744680851063
estrone,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,2-OH-estrone,CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2=O,estrone,0.75
estrone,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,4-OH-estrone,CC12CCC3c4ccc(O)c(O)c4CCC3C1CCC2=O,estrone,0.6595744680851063
estrone,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,6alpha-OH-estrone,CC12CCC3c4ccc(O)cc4C(O)CC3C1CCC2=O,estrone,0.717391304347826
estrone,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,7alpha-OH-estrone,CC12CCC3c4ccc(O)cc4CC(O)C3C1CCC2=O,estrone,0.6666666666666666
estrone,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,15alpha-OH-estrone,CC12CCC3c4ccc(O)cc4CCC3C1C(O)CC2=O,estrone,0.6808510638297872
estrone,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,16alpha-OH-estrone,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2=O,estrone,0.6875
eszopiclone,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,N-desmethyl-zopiclone,O=C(OC1c2nccnc2C(=O)N1c1ccc(Cl)cn1)N1CCNCC1,eszopiclone,0.7894736842105263
eszopiclone,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,N-oxide-zopiclone,C[N+]1([O-])CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,eszopiclone,0.8245614035087719
ethiprole,CC[S+]([O-])c1c(C#N)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N,Ethiprole Sulfone,CCS(=O)(=O)c1c(C#N)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N,ethiprole,0.6363636363636364
ethylmorphine,CCOc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,Norethylmorphine,CCOc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341,ethylmorphine,0.6557377049180327
ethylmorphine,CCOc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,Morphine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,ethylmorphine,0.7454545454545455
etizolam,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,,CCc1cc2c(s1)-n1c(C)nnc1C(O)N=C2c1ccccc1Cl,etizolam,0.6206896551724138
etizolam,CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,,Cc1nnc2n1-c1sc(C(C)O)cc1C(c1ccccc1Cl)=NC2,etizolam,0.6785714285714286
etoperidone,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,,CCCn1nc(CC)n(CC)c1=O,etoperidone,0.45098039215686275
etoperidone,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,,Clc1cccc(N2CCNCC2)c1,etoperidone,0.39622641509433965
etoperidone,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,,CCc1nn(CCCN2CCN(c3ccc(O)c(Cl)c3)CC2)c(=O)n1CC,etoperidone,0.7368421052631579
etoperidone,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,,CCn1c(C(C)O)nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c1=O,etoperidone,0.7368421052631579
etoposide,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,Etoposide Catechol,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(O)c1O,etoposide,0.9420289855072463
etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,6-Hydroxymethyletoricoxib,CS(=O)(=O)c1ccc(-c2cc(Cl)cnc2-c2ccc(CO)nc2)cc1,etoricoxib,0.717391304347826
etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,Etoricoxib 1'-N'-oxide,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)c[n+]1[O-],etoricoxib,0.717391304347826
eugenol,C=CCc1ccc(O)c(OC)c1,Hydroxychavicol,C=CCc1ccc(O)c(O)c1,eugenol,0.6129032258064516
eupatilin,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1OC,Jaceosidine,COc1cc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)ccc1O,eupatilin,0.8636363636363636
ezlopitant,COc1ccc(C(C)C)cc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,,C=C(C)c1ccc(OC)c(CNC2C3CCN(CC3)C2C(c2ccccc2)c2ccccc2)c1,ezlopitant,0.7894736842105263
ezlopitant,COc1ccc(C(C)C)cc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,,COc1ccc(C(C)(C)O)cc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,ezlopitant,0.7457627118644068
fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,Norfentanyl,CCC(=O)N(c1ccccc1)C1CCNCC1,fentanyl,0.6
fentanyl,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,Phenylacetaldehyde,O=CCc1ccccc1,fentanyl,0.2222222222222222
finasteride,CC(C)(C)NC(=O)C1CCC2C3CCC4N=C(O)C=CC4(C)C3CCC12C,,CC(C)(CO)NC(=O)C1CCC2C3CCC4N=C(O)C=CC4(C)C3CCC12C,finasteride,0.8214285714285714
flosequinan,Cn1cc([S+](C)[O-])c(=O)c2ccc(F)cc21,flosequinan sulfone,Cn1cc(S(C)(=O)=O)c(=O)c2ccc(F)cc21,flosequinan,0.5581395348837209
flucloxacillin,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,,CC1(C)SC2C(NC(=O)c3c(-c4c(F)cccc4Cl)noc3CO)C(=O)N2C1C(=O)O,flucloxacillin,0.835820895522388
flunarizine,Fc1ccc(C(c2ccc(F)cc2)N2CCN(CC=Cc3ccccc3)CC2)cc1,1Ã¢â‚¬Â[bis(4Ã¢â‚¬Âfluorophenyl)methyl]piperazine,Fc1ccc(C(c2ccc(F)cc2)N2CCNCC2)cc1,flunarizine,0.4523809523809524
flunarizine,Fc1ccc(C(c2ccc(F)cc2)N2CCN(CC=Cc3ccccc3)CC2)cc1,p-Hydroxyflunarizine,Oc1ccc(C=CCN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,flunarizine,0.7674418604651163
fluphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,10-{3-[4-(2-hydroxyethyl)piperazin-1-yl]propyl}-2-(trifluoromethyl)-10H-5ÃŽÂ»Ã¢ÂÂ´-phenothiazin-5-one,[O-][S+]1c2ccccc2N(CCCN2CCN(CCO)CC2)c2cc(C(F)(F)F)ccc21,fluphenazine,0.6428571428571429
flunitrazepam,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,desmethylflunitrazepam,O=[N+]([O-])c1ccc2c(c1)C(c1ccccc1F)=NCC(O)=N2,flunitrazepam,0.5818181818181818
flunitrazepam,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,3-hydroxyflunitrazepam,CN1C(=O)C(O)N=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,flunitrazepam,0.6428571428571429
flutamide,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,2-OH-flutamide,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,flutamide,0.6818181818181818
fluvastatin,CC(C)n1c(C=CC(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,6-OH-fluvastatin,CC(C)n1c(C=CC(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccc(O)cc21,fluvastatin,0.7758620689655172
fluvastatin,CC(C)n1c(C=CC(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,N-Deisopropyl-fluvastatin,O=C(O)CC(O)CC(O)C=Cc1[nH]c2ccccc2c1-c1ccc(F)cc1,fluvastatin,0.6271186440677966
fluvastatin,CC(C)n1c(C=CC(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,5-OH-fluvastatin,CC(C)n1c(C=CC(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2cc(O)ccc21,fluvastatin,0.7894736842105263
fluvoxamine,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,Fluvoxamino alcohol,NCCON=C(CCCCO)c1ccc(C(F)(F)F)cc1,fluvoxamine,0.7727272727272727
formononetin,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,Daidzein,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,formononetin,0.7631578947368421
furafylline,Cc1nc2c(=O)n(C)c(=O)n(Cc3ccco3)c2[nH]1,"3-[(furan-2-yl)methyl]-8-hydroxy-1-methyl-2,3,6,7-tetrahydro-1H-purine-2,6-dione   ",Cn1c(=O)c2nc(CO)[nH]c2n(Cc2ccco2)c1=O,furafylline,0.7551020408163265
galangin,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,4'-OH-galangin,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,galangin,0.8055555555555556
