parent_name,child_name,parent_smiles,child_smiles,source
sirolimus,24-OH-sirolimus,CO[C@@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(/C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C\C=C\C=C\1C,CO[C@@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(/C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C(O)[C@@H](C)/C=C\C=C\C=C\1C,MetXBioDB
sirolimus,46-OH-sirolimus,CO[C@@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(/C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C\C=C\C=C\1C,CO[C@@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(/C)[C@@H](O)[C@@H](OC)C(=O)[C@H](CO)C[C@@H](C)/C=C\C=C\C=C\1C,MetXBioDB
sparteine,,C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1,OC12CCCCN1CC1CC2CN2CCCCC12,MetXBioDB
sparteine,,C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1,OC1CCCC2C3CC(CN12)C1CCCCN1C3,MetXBioDB
sparteine,,C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1,OC1CCCN2CC3CC(CN4CCCCC34)C12,MetXBioDB
styrene,"Styrene 7,8-oxide",C=Cc1ccccc1,c1ccc(C2CO2)cc1,MetXBioDB
sulfadiazine,,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,O=S(=O)(Nc1ncccn1)c1ccc(NO)cc1,MetXBioDB
sulfamethoxazole,Sulfamethoxazole N4-hydroxylamine,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,Cc1cc(NS(=O)(=O)c2ccc(NO)cc2)no1,MetXBioDB
tacrine,N4-hydroxylamine,N=c1c2c([nH]c3ccccc13)CCCC2,N=c1c2c([nH]c3ccccc13)CCCC2O,MetXBioDB
tacrine,4- Hydroxytacrine,N=c1c2c([nH]c3ccccc13)CCCC2,Nc1c2c(nc3ccccc13)C(O)CCC2,MetXBioDB
tacrine,2-Hydroxytacrine,N=c1c2c([nH]c3ccccc13)CCCC2,N=c1c2c([nH]c3ccccc13)CCC(O)C2,MetXBioDB
tacrine,7-Hydroxytacrine,N=c1c2c([nH]c3ccccc13)CCCC2,Nc1c2c(nc3c(O)cccc13)CCCC2,MetXBioDB
tamarixetin,QUERCETIN,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,MetXBioDB
tamoxifen,N-Desmethyltamoxifen,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,CC/C(=C(\c1ccccc1)c1ccc(OCCNC)cc1)c1ccccc1,MetXBioDB
tamoxifen,4-Hydroxytamoxifen,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,MetXBioDB
tamoxifen,4'-Hydroxytamoxifen,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccc(O)cc1,MetXBioDB
tamoxifen,alpha-Hydroxytamoxifen,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,CC(O)/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,MetXBioDB
tamoxifen,3-Hydroxytamoxifen,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,CC/C(=C(/c1ccc(OCCN(C)C)cc1)c1cccc(O)c1)c1ccccc1,MetXBioDB
tamsulosin,,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,CCOc1ccc(O)cc1OCCNC(C)Cc1ccc(OC)c(S(N)(=O)=O)c1,MetXBioDB
tamsulosin,,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,CCOc1ccccc1OCCNC(C)Cc1ccc(O)c(S(N)(=O)=O)c1,MetXBioDB
tamsulosin,,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,COc1ccc(CC(C)NCCOc2ccccc2O)cc1S(N)(=O)=O,MetXBioDB
tangeretin,,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1,COc1c(OC)c(OC)c2c(=O)cc(-c3ccc(O)cc3)oc2c1OC,MetXBioDB
tangeretin,,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)c(OC)c3o2)cc1,COc1ccc(-c2cc(=O)c3c(O)c(O)c(OC)c(OC)c3o2)cc1,MetXBioDB
tauromustine,,CN(C)S(=O)(=O)CCN=C(O)N(CCCl)N=O,CNS(=O)(=O)CCN=C(O)N(CCCl)N=O,MetXBioDB
tauromustine,,CN(C)S(=O)(=O)CCN=C(O)N(CCCl)N=O,CN(C)S(=O)(=O)CCNC(O)=NCCCl,MetXBioDB
taxol,6ÃŽÂ±-Hydroxypaclitaxel ,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](N=C(O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)[C@H](O)[C@H]3OC[C@@]3(OC(C)=O)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](N=C(O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,MetXBioDB
taxol,3Ã¢â‚¬Â²-pHydroxypaclitaxel ,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](N=C(O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](N=C(O)c3ccccc3)c3ccc(O)cc3)C(C)=C1C2(C)C,MetXBioDB
tecalcet,,COc1cccc([C@@H](C)NCCCc2ccccc2Cl)c1,CC(NCCCc1ccccc1Cl)c1cccc(O)c1,MetXBioDB
tegaserod,,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(O)cc12,MetXBioDB
teniposide,Teniposide catechol ,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(O)c1O,MetXBioDB
tenoxicam,5'-Hydroxytenoxicam,CN1/C(=C(/O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O,CN1/C(=C(/O)Nc2ccc(O)cn2)C(=O)c2sccc2S1(=O)=O,MetXBioDB
tentoxin,,CC(C)C[C@@H]1N=C(O)[C@H](C)N(C)C(=O)CN=C(O)/C(=C\c2ccccc2)N(C)C1=O,CC(C)CC1N=C(O)C(C)N(C)C(=O)CN=C(O)/C(=C\c2ccccc2)N=C1O,MetXBioDB
terbinafine,N-Desmethylterbinafine,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,CC(C)(C)C#C/C=C/CNCc1cccc2ccccc12,MetXBioDB
terbinafine,Hydroxyterbinafine,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,CN(C/C=C/C#CC(C)(C)CO)Cc1cccc2ccccc12,MetXBioDB
terbinafine,1-Naphtaldehyde,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,O=Cc1cccc2ccccc12,MetXBioDB
terbuthylazine,,CCN=c1nc(Cl)nc(NC(C)(C)C)[nH]1,CC(O)N=c1nc(Cl)nc(NC(C)(C)C)[nH]1,MetXBioDB
terbuthylazine,,CCN=c1nc(Cl)nc(NC(C)(C)C)[nH]1,CCN=c1nc(Cl)nc(NC(C)(C)CO)[nH]1,MetXBioDB
territrem a,,COc1cc(-c2cc3c(c(=O)o2)C[C@]2(O)[C@@]4(C)C(=O)C=CC(C)(C)[C@]4(O)CC[C@@]2(C)O3)cc2c1OCO2,COc1cc(-c2cc3c(c(=O)o2)CC2(O)C(C)(CCC4(O)C(C)(CO)C=CC(=O)C42C)O3)cc2c1OCO2,MetXBioDB
tert-amyl methyl ether,tert-amyl alcohol,CCC(C)(C)OC,CCC(C)(C)O,MetXBioDB
tert-butyl ethyl ether (ETBE),Tert-butanol,CCOC(C)(C)C,CC(C)(C)O,MetXBioDB
tert-butyl methyl ether,Tert-butanol,COC(C)(C)C,CC(C)(C)O,MetXBioDB
testosterone,6ÃŽÂ²Hydroxytestosterone ,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,C[C@]12CC[C@H]3[C@@H](C[C@@H](O)C4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,MetXBioDB
testosterone,2ÃŽÂ±-Hydroxytestosterone ,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)[C@H](O)C[C@@]43C)[C@@H]1CC[C@@H]2O,MetXBioDB
testosterone,2ÃŽÂ²-Hydroxytestosterone ,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)[C@@H](O)C[C@@]43C)[C@@H]1CC[C@@H]2O,MetXBioDB
testosterone,15ÃŽÂ±-Hydroxytestosterone ,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1[C@@H](O)C[C@@H]2O,MetXBioDB
testosterone,15ÃŽÂ²-Hydroxytestosterone ,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1[C@H](O)C[C@@H]2O,MetXBioDB
testosterone,16ÃŽÂ±-Hydroxytestosterone ,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1C[C@@H](O)[C@@H]2O,MetXBioDB
testosterone,16ÃŽÂ²-Hydroxytestosterone ,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1C[C@H](O)[C@@H]2O,MetXBioDB
testosterone,Androstenedione ,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,MetXBioDB
tetradecanoic acid,,CCCCCCCCCCCCCC(=O)O,CC(O)CCCCCCCCCCCC(=O)O,MetXBioDB
tetranor-(+)-s-145,,O=C(O)CC[C@H]1[C@@H]2CC[C@@H](C2)[C@@H]1NS(=O)(=O)c1ccccc1,O=C(O)CCC1C2CC(O)C(C2)C1NS(=O)(=O)c1ccccc1,MetXBioDB
tetranor-(+)-s-145,,O=C(O)CC[C@H]1[C@@H]2CC[C@@H](C2)[C@@H]1NS(=O)(=O)c1ccccc1,O=C(O)CCC1C2CC(CC2O)C1NS(=O)(=O)c1ccccc1,MetXBioDB
theobromine,,Cn1cnc2c1c(O)nc(=O)n2C,Cn1cnc2nc(O)nc(O)c21,MetXBioDB
theobromine,,Cn1cnc2c1c(O)nc(=O)n2C,Cn1c(=O)nc(O)c2nc[nH]c21,MetXBioDB
theobromine,,Cn1cnc2c1c(O)nc(=O)n2C,Cn1c(O)nc2c1c(O)nc(=O)n2C,MetXBioDB
theophylline,"1,3-Dimethyluric acid",Cn1c(=O)c2nc[nH]c2n(C)c1=O,Cn1c(=O)c2nc(O)[nH]c2n(C)c1=O,MetXBioDB
theophylline,1-Methylxanthine ,Cn1c(=O)c2nc[nH]c2n(C)c1=O,Cn1c(O)nc2[nH]cnc2c1=O,MetXBioDB
theophylline,3-Methylxanthine ,Cn1c(=O)c2nc[nH]c2n(C)c1=O,Cn1c(=O)nc(O)c2nc[nH]c21,MetXBioDB
thiabendazole,5-hydroxythiabendazole ,c1ccc2[nH]c(-c3cscn3)nc2c1,Oc1ccc2nc(-c3cscn3)[nH]c2c1,MetXBioDB
ticlopidine,Thienodihydropyridinium,Clc1ccccc1CN1CCc2sccc2C1,Clc1ccccc1CN1C=C2C=C[S+]=C2CC1,MetXBioDB
ticlopidine,Ticlopidine S-oxide,Clc1ccccc1CN1CCc2sccc2C1,O=S1C=CC2=C1CCN(Cc1ccccc1Cl)C2,MetXBioDB
ticrynafen,Tienilic acid-s-oxide,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,O=C(O)COc1ccc(C(=O)C2=CC=CS2=O)c(Cl)c1Cl,MetXBioDB
ticrynafen,"Thiophene-4,5-epoxide",O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,O=C(O)COc1ccc(C(=O)C2=CC3OC3S2)c(Cl)c1Cl,MetXBioDB
timolol,,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,CC(C)(C)NCC(O)COc1nsnc1N1CCOC(O)C1,MetXBioDB
tirilazad,,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@H]1C(=O)CN1CCN(c2cc(N3CCCC3)nc(N3CCCC3)n2)CC1,CC1CC2C3CC(O)C4=CC(=O)C=CC4(C)C3=CCC2(C)C1C(=O)CN1CCN(c2cc(N3CCCC3)nc(N3CCCC3)n2)CC1,MetXBioDB
tirilazad,,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@H]1C(=O)CN1CCN(c2cc(N3CCCC3)nc(N3CCCC3)n2)CC1,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3=CCC2(C)C1C(=O)CN1CCN(c2cc(N3CCCC3)nc(N3CCC(O)C3)n2)CC1,MetXBioDB
tirilazad,,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@H]1C(=O)CN1CCN(c2cc(N3CCCC3)nc(N3CCCC3)n2)CC1,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3=CCC2(C)C1C(=O)CN1CCN(c2cc(N3CCC(O)C3)nc(N3CCCC3)n2)CC1,MetXBioDB
tolbutamide,4-Hydroxytolbutamide,CCCCN=C(O)NS(=O)(=O)c1ccc(C)cc1,CCCCN=C(O)NS(=O)(=O)c1ccc(CO)cc1,MetXBioDB
tolterodine,N-Dealkylated tolterodine,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,Cc1ccc(O)c([C@H](CCNC(C)C)c2ccccc2)c1,MetXBioDB
tolterodine,5-Hydroxymethyl tolterodine,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,CC(C)N(CC[C@H](c1ccccc1)c1cc(CO)ccc1O)C(C)C,MetXBioDB
toluene,Benzyl alcohol,Cc1ccccc1,OCc1ccccc1,MetXBioDB
toluene,o-Cresol,Cc1ccccc1,Cc1ccccc1O,MetXBioDB
toluene,p-Cresol,Cc1ccccc1,Cc1ccc(O)cc1,MetXBioDB
torasemide,"N-[(4-{[3-(hydroxymethyl)phenyl]imino}-1,4-dihydropyridin-3-yl)sulfonyl]propane-2-carbamimidic acid",Cc1cccc(N=c2cc[nH]cc2S(=O)(=O)NC(O)=NC(C)C)c1,CC(C)N=C(O)NS(=O)(=O)c1c[nH]ccc1=Nc1cccc(CO)c1,MetXBioDB
toremifene,N-desmethyltoremifene,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,CNCCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,MetXBioDB
toremifene,N-desmethyltoremifene,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,CNCCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1,MetXBioDB
tozasertib,,Cc1cc(=Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)[nH][nH]1,Cc1cc(=Nc2cc(N3CC[N+](C)([O-])CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)[nH][nH]1,MetXBioDB
tozasertib,,Cc1cc(=Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)[nH][nH]1,Cc1cc(=Nc2cc(N3CCNCC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)[nH][nH]1,MetXBioDB
tpa-023,,CCn1ncnc1COc1nn2c(-c3ccccc3F)nnc2cc1C(C)(C)C,CCn1ncnc1COc1nn2c(-c3ccccc3F)nnc2cc1C(C)(C)CO,MetXBioDB
tpa-023,,CCn1ncnc1COc1nn2c(-c3ccccc3F)nnc2cc1C(C)(C)C,CC(C)(C)c1cc2nnc(-c3ccccc3F)n2nc1OCc1nc[nH]n1,MetXBioDB
tramadol,N-desmethyltramadol,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,CNCC1CCCCC1(O)c1cccc(OC)c1,MetXBioDB
tramadol,O-desmethyl-tramadol,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,CN(C)CC1CCCCC1(O)c1cccc(O)c1,MetXBioDB
traxoprodil,,C[C@@H]([C@@H](O)c1ccc(O)cc1)N1CCC(O)(c2ccccc2)CC1,CC(C(O)c1ccc(O)c(O)c1)N1CCC(O)(c2ccccc2)CC1,MetXBioDB
trazodone,m-CPP,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,Clc1cccc(N2CCNCC2)c1,MetXBioDB
trazodone,p-Hydroxytrazodone,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,O=c1n(CCCN2CCN(c3ccc(O)c(Cl)c3)CC2)nc2ccccn12,MetXBioDB
trazodone,Trazodone epoxide,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2n1C=CC1OC21,MetXBioDB
triazolam,,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,MetXBioDB
triazolam,,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2O,MetXBioDB
trihydroxycoprostane,,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,CC(CCCC(C)(C)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,MetXBioDB
trimethadione,,CN1C(=O)OC(C)(C)C1=O,CC1(C)OC(=O)N=C1O,MetXBioDB
tropisetron,,CN1[C@@H]2CC[C@H]1CC(OC(=O)c1c[nH]c3ccccc13)C2,CN1C2CCC1CC(OC(=O)c1c[nH]c3ccc(O)cc13)C2,MetXBioDB
tropisetron,,CN1[C@@H]2CC[C@H]1CC(OC(=O)c1c[nH]c3ccccc13)C2,CN1C2CCC1CC(OC(=O)c1c[nH]c3cc(O)ccc13)C2,MetXBioDB
tropisetron,,CN1[C@@H]2CC[C@H]1CC(OC(=O)c1c[nH]c3ccccc13)C2,O=C(OC1CC2CCC(C1)N2)c1c[nH]c2ccccc12,MetXBioDB
tyramine,,NCCc1ccc(O)cc1,NCCc1ccc(O)c(O)c1,MetXBioDB
MK-429,,COc1ccc([C@H](CC(=O)O)N2CCN(CCCc3ccc4c(n3)NCCC4)C2=O)cn1,O=C(O)CC(c1ccc(O)nc1)N1CCN(CCCc2ccc3c(n2)NCCC3)C1=O,MetXBioDB
MK-429,,COc1ccc([C@H](CC(=O)O)N2CCN(CCCc3ccc4c(n3)NCCC4)C2=O)cn1,O=C(O)CC(c1ccc(O)nc1)N1CCN(CCCc2ccc3c(n2)NC(O)CC3)C1=O,MetXBioDB
MK-429,,COc1ccc([C@H](CC(=O)O)N2CCN(CCCc3ccc4c(n3)NCCC4)C2=O)cn1,O=C(O)CC(c1ccc(O)nc1)N1CCN(CCCc2ccc3c(n2)NCCC3O)C1=O,MetXBioDB
(R)-(+)-Rebamipide,8-Hydroxyrebamipide,O=C(N[C@H](Cc1cc(O)nc2ccccc12)C(=O)O)c1ccc(Cl)cc1,O=C(NC(Cc1cc(O)nc2c(O)cccc12)C(=O)O)c1ccc(Cl)cc1,MetXBioDB
(R)-(+)-Rebamipide,6-Hydroxyrebamipide,O=C(N[C@H](Cc1cc(O)nc2ccccc12)C(=O)O)c1ccc(Cl)cc1,O=C(NC(Cc1cc(O)nc2ccc(O)cc12)C(=O)O)c1ccc(Cl)cc1,MetXBioDB
"p-Methoxymethamphetamine, R-(-)-",HO-MA,CN[C@H](C)Cc1ccc(OC)cc1,CNC(C)Cc1ccc(O)cc1,MetXBioDB
(S)-Methylenedioxyethylamphetamine,"3,4-methylenedioxyamphetamine",CCN[C@@H](C)Cc1ccc2c(c1)OCO2,C[C@H](N)Cc1ccc2c(c1)OCO2,MetXBioDB
(S)-Methylenedioxyethylamphetamine,"N-methyl-3,4-methylenedioxyamphetamine",CCN[C@@H](C)Cc1ccc2c(c1)OCO2,CCN[C@@H](C)Cc1ccc(O)c(O)c1,MetXBioDB
unii-3es85mm31y,,CCCOc1ccc(S(=O)(=O)N2CCN(CC)CC2)cc1-c1nc2c(CC)n(Cc3ccccn3)nc2c(=O)[nH]1,CCCOc1ccc(S(=O)(=O)N2CCNCC2)cc1-c1nc2c(CC)n(Cc3ccccn3)nc2c(=O)[nH]1,MetXBioDB
Fenproporex,amphetamine,C[C@@H](Cc1ccccc1)NCCC#N,CC(N)Cc1ccccc1,MetXBioDB
Desmethylescitalopram,,CNCCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,N#Cc1ccc2c(c1)COC2(CCCN)c1ccc(F)cc1,MetXBioDB
RPR-106541,,CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(SC)O1,CCCC1OC2CC3C4CC(F)C5=CC(=O)CCC5(C)C4(F)C(O)CC3(C)C2(S(C)=O)O1,MetXBioDB
"Desmethylsibutramine, (S)-",1-[1-(4-chlorophenyl)cyclobutyl]-3-methylbutylamine,CN[C@@H](CC(C)C)C1(c2ccc(Cl)cc2)CCC1,CC(C)CC(N)C1(c2ccc(Cl)cc2)CCC1,MetXBioDB
unii-ku5u13xy7j component vwcugcyzzgrkee-dyesrhjhsa-n,,CC[C@@H](OC(C)=O)C(C[C@@H](C)NC)(c1ccccc1)c1ccccc1,CCC(OC(C)=O)C(CC(C)N)(c1ccccc1)c1ccccc1,MetXBioDB
"4'-Methoxy-alpha-pyrrolidinopropiophenone, (S)-",,COc1ccc(C(=O)[C@H](C)N2CCCC2)cc1,CC(C(=O)c1ccc(O)cc1)N1CCCC1,MetXBioDB
unii-s5969b6237 component anucdxcticzjrh-zmzpimszsa-n,,C[C@@H]1CO[C@@]2(c3ccccc3Cl)c3cc(Cl)ccc3N=C(O)CN12,CC1(O)COC2(c3ccccc3Cl)c3cc(Cl)ccc3N=C(O)CN12,MetXBioDB
unii-vg463bm9rl component dtjqbbhyrqydeg-rlhiphhxsa-n,,COCC[C@@H]1C[C@@H]2CN3CCc4c([nH]c5ccccc45)[C@@](C(=O)OC)(C2)[C@@H]13,COC(=O)C12CC3CC(CCO)C1N(CCc1c2[nH]c2ccccc12)C3,MetXBioDB
(S)-Sibutramine,,CC(C)C[C@H](N(C)C)C1(c2ccc(Cl)cc2)CCC1,CNC(CC(C)C)C1(c2ccc(Cl)cc2)CCC1,MetXBioDB
R-Tolperisone,hydroxymethyl-tolperisone,Cc1ccc(C(=O)[C@H](C)CN2CCCCC2)cc1,CC(CN1CCCCC1)C(=O)c1ccc(CO)cc1,MetXBioDB
CP-195543,M1 and M2,O=C(O)c1ccc(C(F)(F)F)cc1-c1ccc2c(c1)OC[C@H](Cc1ccccc1)[C@H]2O,O=C(O)c1ccc(C(F)(F)F)cc1-c1ccc2c(c1)OCC(C(O)c1ccccc1)C2O,MetXBioDB
CP-195543,M3,O=C(O)c1ccc(C(F)(F)F)cc1-c1ccc2c(c1)OC[C@H](Cc1ccccc1)[C@H]2O,O=C(O)c1ccc(C(F)(F)F)cc1-c1ccc2c(c1)OCC(Cc1ccccc1O)C2O,MetXBioDB
(R)-Bunitrolol,,CC(C)(C)NC[C@@H](O)COc1ccccc1C#N,CC(C)(C)NCC(O)COc1ccc(O)cc1C#N,MetXBioDB
v11294,,CCNc1ncn(Cc2ccc(OC)c(OC3CCCC3)c2)c2nc(C(C)C)nc1-2,CCNc1ncn(Cc2ccc(OC)c(OC3CCC(O)C3)c2)c2nc(C(C)C)nc1-2,MetXBioDB
v11294,,CCNc1ncn(Cc2ccc(OC)c(OC3CCCC3)c2)c2nc(C(C)C)nc1-2,CCNc1ncn(Cc2ccc(OC)c(OC3CCCC3)c2)c2nc(C(C)(C)O)nc1-2,MetXBioDB
v11294,,CCNc1ncn(Cc2ccc(OC)c(OC3CCCC3)c2)c2nc(C(C)C)nc1-2,COc1ccc(Cn2cnc(N)c3nc(C(C)C)nc2-3)cc1OC1CCCC1,MetXBioDB
